sex,year,name,frequency,State,rank,percentage
F,1910,Anna,143,MI,11,1.185
F,1910,Alice,131,MI,17,1.085
F,1910,Agnes,71,MI,44,0.588
F,1910,Ann,50,MI,65,0.414
F,1910,Alma,35,MI,89,0.29
F,1910,Anne,30,MI,103,0.249
F,1910,Ada,23,MI,127,0.191
F,1910,Angeline,22,MI,133,0.182
F,1910,Alberta,13,MI,195,0.108
F,1910,Arlene,13,MI,195,0.108
F,1910,Audrey,13,MI,195,0.108
F,1910,Adeline,12,MI,207,0.099
F,1910,Adelaide,10,MI,235,0.083
F,1910,Aileen,10,MI,235,0.083
F,1910,Antoinette,9,MI,254,0.075
F,1910,Alta,8,MI,273,0.066
F,1910,Amelia,8,MI,273,0.066
F,1910,Aili,7,MI,301,0.058
F,1910,Amanda,6,MI,336,0.05
F,1910,Angela,6,MI,336,0.05
F,1910,Anita,6,MI,336,0.05
F,1910,Annie,6,MI,336,0.05
F,1910,Annette,5,MI,368,0.041
F,1910,Arvilla,5,MI,368,0.041
F,1911,Anna,147,MI,12,1.134
F,1911,Alice,125,MI,17,0.965
F,1911,Agnes,77,MI,42,0.594
F,1911,Ann,63,MI,55,0.486
F,1911,Anne,35,MI,93,0.27
F,1911,Alma,31,MI,105,0.239
F,1911,Angeline,25,MI,122,0.193
F,1911,Adeline,22,MI,141,0.17
F,1911,Arlene,19,MI,156,0.147
F,1911,Ada,17,MI,172,0.131
F,1911,Audrey,16,MI,181,0.123
F,1911,Alberta,14,MI,192,0.108
F,1911,Angela,12,MI,214,0.093
F,1911,Antoinette,12,MI,214,0.093
F,1911,Alyce,10,MI,253,0.077
F,1911,Aileen,9,MI,266,0.069
F,1911,Alta,9,MI,266,0.069
F,1911,Amelia,8,MI,293,0.062
F,1911,Annie,8,MI,293,0.062
F,1911,Adele,7,MI,310,0.054
F,1911,Agatha,7,MI,310,0.054
F,1911,Adelaide,6,MI,333,0.046
F,1911,Alvina,6,MI,333,0.046
F,1911,Annabelle,6,MI,333,0.046
F,1911,Arvilla,6,MI,333,0.046
F,1911,Aune,6,MI,333,0.046
F,1911,Avis,6,MI,333,0.046
F,1911,Adah,5,MI,376,0.039
F,1911,Amanda,5,MI,376,0.039
F,1911,Anita,5,MI,376,0.039
F,1912,Anna,186,MI,21,0.845
F,1912,Alice,183,MI,22,0.832
F,1912,Agnes,114,MI,47,0.518
F,1912,Ann,88,MI,65,0.4
F,1912,Anne,62,MI,92,0.282
F,1912,Alma,50,MI,112,0.227
F,1912,Audrey,26,MI,185,0.118
F,1912,Angeline,23,MI,202,0.105
F,1912,Ada,22,MI,210,0.1
F,1912,Alberta,21,MI,221,0.095
F,1912,Arlene,21,MI,221,0.095
F,1912,Adeline,20,MI,226,0.091
F,1912,Amelia,19,MI,237,0.086
F,1912,Annabelle,19,MI,237,0.086
F,1912,Avis,15,MI,275,0.068
F,1912,Adelaide,13,MI,306,0.059
F,1912,Aileen,13,MI,306,0.059
F,1912,Antoinette,13,MI,306,0.059
F,1912,Angela,12,MI,319,0.055
F,1912,Anita,11,MI,340,0.05
F,1912,Annie,11,MI,340,0.05
F,1912,Agatha,10,MI,356,0.045
F,1912,Alta,10,MI,356,0.045
F,1912,Annetta,10,MI,356,0.045
F,1912,Adele,7,MI,427,0.032
F,1912,Amy,7,MI,427,0.032
F,1912,Adelle,5,MI,504,0.023
F,1912,Allie,5,MI,504,0.023
F,1912,Althea,5,MI,504,0.023
F,1912,Alvina,5,MI,504,0.023
F,1912,Alyce,5,MI,504,0.023
F,1912,Amanda,5,MI,504,0.023
F,1912,Augusta,5,MI,504,0.023
F,1913,Anna,221,MI,23,0.805
F,1913,Alice,216,MI,24,0.786
F,1913,Ann,109,MI,63,0.397
F,1913,Agnes,83,MI,88,0.302
F,1913,Anne,82,MI,89,0.299
F,1913,Alma,50,MI,132,0.182
F,1913,Angeline,39,MI,154,0.142
F,1913,Audrey,34,MI,174,0.124
F,1913,Arlene,31,MI,186,0.113
F,1913,Adeline,29,MI,198,0.106
F,1913,Amelia,25,MI,217,0.091
F,1913,Ada,20,MI,251,0.073
F,1913,Alberta,18,MI,273,0.066
F,1913,Alta,18,MI,273,0.066
F,1913,Antoinette,16,MI,289,0.058
F,1913,Aileen,13,MI,333,0.047
F,1913,Anita,12,MI,351,0.044
F,1913,Alyce,11,MI,372,0.04
F,1913,Angela,11,MI,372,0.04
F,1913,Annette,11,MI,372,0.04
F,1913,Adele,10,MI,391,0.036
F,1913,Agatha,10,MI,391,0.036
F,1913,Annabelle,10,MI,391,0.036
F,1913,Annie,10,MI,391,0.036
F,1913,Ardis,10,MI,391,0.036
F,1913,Augusta,10,MI,391,0.036
F,1913,Alvina,9,MI,429,0.033
F,1913,Adelaide,8,MI,460,0.029
F,1913,Aletha,8,MI,460,0.029
F,1913,Amy,8,MI,460,0.029
F,1913,Alda,6,MI,533,0.022
