sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1910,Clara,92,MI,19,1.061,28,0.762
F,1910,Catherine,74,MI,33,0.853,43,0.613
F,1910,Charlotte,33,MI,65,0.38,96,0.273
F,1910,Caroline,29,MI,72,0.334,106,0.24
F,1910,Cecelia,24,MI,85,0.277,125,0.199
F,1910,Cora,19,MI,105,0.219,151,0.157
F,1910,Cecilia,15,MI,127,0.173,180,0.124
F,1910,Celia,13,MI,134,0.15,195,0.108
F,1910,Christine,12,MI,144,0.138,207,0.099
F,1910,Carrie,9,MI,177,0.104,254,0.075
F,1910,Constance,9,MI,177,0.104,254,0.075
F,1910,Carol,7,MI,204,0.081,301,0.058
F,1910,Cleo,7,MI,204,0.081,301,0.058
F,1910,Cecile,6,MI,220,0.069,336,0.05
F,1910,Christina,5,MI,238,0.058,368,0.041
F,1910,Corinne,5,MI,238,0.058,368,0.041
F,1911,Clara,100,MI,21,1.064,28,0.772
F,1911,Catherine,72,MI,38,0.766,49,0.556
F,1911,Charlotte,37,MI,62,0.394,86,0.286
F,1911,Cecelia,24,MI,89,0.255,130,0.185
F,1911,Cecilia,24,MI,89,0.255,130,0.185
F,1911,Caroline,20,MI,107,0.213,154,0.154
F,1911,Cora,18,MI,115,0.191,164,0.139
F,1911,Celia,16,MI,127,0.17,181,0.123
F,1911,Carrie,12,MI,149,0.128,215,0.093
F,1911,Cecile,11,MI,165,0.117,240,0.085
F,1911,Christine,10,MI,174,0.106,254,0.077
F,1911,Clarice,10,MI,174,0.106,254,0.077
F,1911,Carol,9,MI,181,0.096,267,0.069
F,1911,Carolyn,9,MI,181,0.096,267,0.069
F,1911,Claire,7,MI,212,0.074,310,0.054
F,1911,Carmen,6,MI,223,0.064,333,0.046
F,1911,Cornelia,6,MI,223,0.064,333,0.046
F,1911,Cecil,5,MI,250,0.053,192,0.108
F,1911,Constance,5,MI,250,0.053,376,0.039
F,1912,Catherine,115,MI,29,0.878,46,0.523
F,1912,Clara,104,MI,36,0.794,55,0.473
F,1912,Charlotte,58,MI,62,0.443,101,0.264
F,1912,Cecelia,37,MI,83,0.283,138,0.168
F,1912,Caroline,32,MI,91,0.244,150,0.145
F,1912,Cecilia,26,MI,114,0.199,185,0.118
F,1912,Christine,21,MI,132,0.16,221,0.095
F,1912,Cora,21,MI,132,0.16,221,0.095
F,1912,Celia,18,MI,144,0.137,243,0.082
F,1912,Carrie,12,MI,186,0.092,323,0.055
F,1912,Constance,12,MI,186,0.092,323,0.055
F,1912,Carol,11,MI,198,0.084,344,0.05
F,1912,Clarice,10,MI,209,0.076,360,0.045
F,1912,Corinne,10,MI,209,0.076,360,0.045
F,1912,Cornelia,9,MI,223,0.069,386,0.041
F,1912,Cecile,8,MI,230,0.061,403,0.036
F,1912,Carolyn,7,MI,244,0.053,426,0.032
F,1912,Claire,7,MI,244,0.053,426,0.032
F,1912,Crystal,7,MI,244,0.053,426,0.032
F,1912,Carmen,6,MI,262,0.046,457,0.027
F,1912,Cassie,6,MI,262,0.046,457,0.027
F,1912,Christina,6,MI,262,0.046,457,0.027
F,1912,Catharine,5,MI,283,0.038,500,0.023
F,1912,Clarabelle,5,MI,283,0.038,500,0.023
F,1912,Clare,5,MI,283,0.038,291,0.064
F,1912,Cynthia,5,MI,283,0.038,500,0.023
F,1913,Catherine,144,MI,26,0.917,45,0.524
F,1913,Clara,122,MI,33,0.777,55,0.444
F,1913,Charlotte,52,MI,75,0.331,129,0.189
F,1913,Caroline,37,MI,93,0.236,159,0.135
F,1913,Cecilia,24,MI,133,0.153,225,0.087
F,1913,Cecelia,20,MI,144,0.127,252,0.073
F,1913,Celia,19,MI,150,0.121,262,0.069
F,1913,Christine,18,MI,156,0.115,274,0.066
F,1913,Cornelia,17,MI,162,0.108,283,0.062
F,1913,Constance,15,MI,175,0.096,304,0.055
F,1913,Cora,14,MI,182,0.089,317,0.051
F,1913,Carolyn,12,MI,195,0.076,351,0.044
F,1913,Carol,11,MI,204,0.07,372,0.04
F,1913,Carmen,10,MI,214,0.064,391,0.036
F,1913,Carrie,9,MI,238,0.057,429,0.033
F,1913,Cecile,9,MI,238,0.057,429,0.033
F,1913,Cleo,8,MI,253,0.051,459,0.029
F,1913,Corinne,8,MI,253,0.051,459,0.029
F,1913,Cathryn,7,MI,273,0.045,486,0.025
F,1913,Claire,7,MI,273,0.045,486,0.025
F,1913,Clarice,7,MI,273,0.045,486,0.025
F,1913,Coral,6,MI,299,0.038,532,0.022
F,1913,Camilla,5,MI,322,0.032,584,0.018
F,1913,Christina,5,MI,322,0.032,584,0.018
F,1913,Clarissa,5,MI,322,0.032,584,0.018
F,1913,Crystal,5,MI,322,0.032,584,0.018
F,1914,Clara,159,MI,26,0.866,49,0.471
F,1914,Catherine,158,MI,27,0.861,50,0.468
F,1914,Charlotte,58,MI,77,0.316,134,0.172
F,1914,Caroline,32,MI,124,0.174,214,0.095
F,1914,Cecilia,31,MI,126,0.169,218,0.092
F,1914,Christine,30,MI,131,0.163,224,0.089
F,1914,Cora,24,MI,148,0.131,258,0.071
F,1914,Celia,22,MI,158,0.12,280,0.065
F,1914,Carolyn,21,MI,160,0.114,287,0.062
F,1914,Cecelia,19,MI,168,0.103,306,0.056
F,1914,Constance,18,MI,174,0.098,317,0.053
F,1914,Carol,17,MI,180,0.093,331,0.05
F,1914,Carrie,16,MI,185,0.087,341,0.047
F,1914,Claire,14,MI,200,0.076,368,0.041
F,1914,Cleo,14,MI,200,0.076,368,0.041
F,1914,Cornelia,13,MI,208,0.071,387,0.039
F,1914,Cecile,10,MI,230,0.054,433,0.03
F,1914,Clarice,7,MI,283,0.038,528,0.021
F,1914,Christina,6,MI,306,0.033,576,0.018
F,1914,Crystal,6,MI,306,0.033,576,0.018
F,1914,Cassie,5,MI,332,0.027,632,0.015
F,1915,Catherine,217,MI,31,0.78,57,0.417
F,1915,Clara,173,MI,41,0.622,75,0.333
F,1915,Charlotte,101,MI,71,0.363,125,0.194
F,1915,Caroline,66,MI,100,0.237,176,0.127
F,1915,Cecelia,48,MI,121,0.173,214,0.092
F,1915,Cecilia,48,MI,121,0.173,214,0.092
F,1915,Cora,38,MI,138,0.137,248,0.073
F,1915,Celia,35,MI,143,0.126,259,0.067
F,1915,Carol,31,MI,154,0.111,281,0.06
F,1915,Carolyn,29,MI,164,0.104,299,0.056
F,1915,Christine,28,MI,170,0.101,307,0.054
F,1915,Claire,17,MI,214,0.061,411,0.033
F,1915,Constance,17,MI,214,0.061,411,0.033
F,1915,Crystal,17,MI,214,0.061,411,0.033
F,1915,Cecile,16,MI,227,0.058,430,0.031
F,1915,Carrie,15,MI,234,0.054,445,0.029
F,1915,Cleo,13,MI,249,0.047,351,0.042
F,1915,Clarice,11,MI,274,0.04,516,0.021
F,1915,Corinne,10,MI,294,0.036,552,0.019
F,1915,Carmen,9,MI,302,0.032,571,0.017
F,1915,Cassie,8,MI,328,0.029,611,0.015
F,1915,Christina,8,MI,328,0.029,611,0.015
F,1915,Camilla,7,MI,354,0.025,662,0.013
F,1915,Carmella,7,MI,354,0.025,662,0.013
F,1915,Corrine,7,MI,354,0.025,662,0.013
F,1915,Cynthia,6,MI,386,0.022,718,0.012
F,1915,Claudia,5,MI,420,0.018,786,0.01
F,1915,Clementine,5,MI,420,0.018,786,0.01
F,1915,Cornelia,5,MI,420,0.018,786,0.01
F,1916,Catherine,258,MI,29,0.8,53,0.431
F,1916,Clara,237,MI,34,0.734,61,0.396
F,1916,Charlotte,128,MI,68,0.397,117,0.214
F,1916,Caroline,61,MI,114,0.189,200,0.102
F,1916,Carol,51,MI,124,0.158,223,0.085
F,1916,Christine,46,MI,136,0.143,241,0.077
F,1916,Cecilia,43,MI,145,0.133,252,0.072
F,1916,Cecelia,42,MI,148,0.13,257,0.07
F,1916,Celia,41,MI,150,0.127,262,0.069
F,1916,Cora,35,MI,162,0.108,290,0.058
F,1916,Carolyn,32,MI,173,0.099,308,0.053
F,1916,Constance,31,MI,174,0.096,314,0.052
F,1916,Cornelia,24,MI,197,0.074,366,0.04
F,1916,Carrie,21,MI,206,0.065,386,0.035
F,1916,Cleo,21,MI,206,0.065,349,0.043
F,1916,Claire,17,MI,238,0.053,440,0.028
F,1916,Clarice,17,MI,238,0.053,440,0.028
F,1916,Christina,16,MI,248,0.05,458,0.027
F,1916,Cecile,13,MI,272,0.04,504,0.022
F,1916,Corinne,13,MI,272,0.04,504,0.022
F,1916,Crystal,13,MI,272,0.04,504,0.022
F,1916,Carmen,12,MI,281,0.037,524,0.02
F,1916,Cassie,11,MI,293,0.034,545,0.018
F,1916,Clare,8,MI,351,0.025,287,0.06
F,1916,Clarissa,8,MI,351,0.025,652,0.013
F,1916,Corrine,8,MI,351,0.025,652,0.013
F,1916,Camilla,7,MI,378,0.022,703,0.012
F,1916,Cecil,7,MI,378,0.022,197,0.104
F,1916,Claudia,7,MI,378,0.022,703,0.012
F,1916,Clementine,7,MI,378,0.022,703,0.012
F,1916,Camille,6,MI,420,0.019,765,0.01
F,1916,Catharine,6,MI,420,0.019,765,0.01
F,1916,Concetta,6,MI,420,0.019,765,0.01
F,1916,Connie,6,MI,420,0.019,765,0.01
F,1916,Cathryn,5,MI,470,0.015,855,0.008
F,1916,Clarabelle,5,MI,470,0.015,855,0.008
F,1916,Cynthia,5,MI,470,0.015,855,0.008
F,1917,Catherine,222,MI,38,0.65,69,0.349
F,1917,Clara,215,MI,41,0.629,73,0.338
F,1917,Charlotte,130,MI,71,0.38,122,0.205
F,1917,Caroline,60,MI,119,0.176,211,0.094
F,1917,Celia,53,MI,129,0.155,227,0.083
F,1917,Christine,49,MI,138,0.143,245,0.077
F,1917,Cecelia,47,MI,141,0.138,253,0.074
F,1917,Cecilia,42,MI,149,0.123,270,0.066
F,1917,Carol,41,MI,152,0.12,276,0.065
F,1917,Cora,31,MI,174,0.091,322,0.049
F,1917,Carolyn,30,MI,179,0.088,333,0.047
F,1917,Constance,26,MI,192,0.076,360,0.041
F,1917,Cleo,24,MI,200,0.07,376,0.038
F,1917,Cornelia,22,MI,210,0.064,396,0.035
F,1917,Cecile,20,MI,221,0.059,420,0.031
F,1917,Carrie,18,MI,228,0.053,436,0.028
F,1917,Clarice,18,MI,228,0.053,436,0.028
F,1917,Claire,17,MI,237,0.05,396,0.035
F,1917,Cassie,16,MI,247,0.047,466,0.025
F,1917,Carmen,15,MI,258,0.044,420,0.031
F,1917,Crystal,14,MI,272,0.041,510,0.022
F,1917,Christina,13,MI,289,0.038,536,0.02
F,1917,Cynthia,11,MI,314,0.032,587,0.017
F,1917,Camilla,10,MI,330,0.029,614,0.016
F,1917,Corinne,9,MI,348,0.026,648,0.014
F,1917,Charlene,8,MI,374,0.023,683,0.013
F,1917,Clarabelle,7,MI,400,0.02,730,0.011
F,1917,Clarissa,7,MI,400,0.02,730,0.011
F,1917,Corrine,7,MI,400,0.02,730,0.011
F,1917,Catharine,6,MI,431,0.018,789,0.009
F,1917,Claudia,6,MI,431,0.018,789,0.009
F,1917,Coral,6,MI,431,0.018,789,0.009
F,1917,Cathryn,5,MI,480,0.015,883,0.008
F,1917,Cecil,5,MI,480,0.015,251,0.076
F,1917,Clarabell,5,MI,480,0.015,883,0.008
F,1918,Catherine,247,MI,36,0.674,65,0.356
