sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1910,Dorothy,265,MI,4,3.055,4,2.195
F,1910,Doris,57,MI,42,0.657,55,0.472
F,1910,Donna,17,MI,111,0.196,159,0.141
F,1910,Dora,16,MI,121,0.184,171,0.133
F,1910,Della,10,MI,164,0.115,235,0.083
F,1910,Dolores,9,MI,177,0.104,254,0.075
F,1910,Dorothea,9,MI,177,0.104,254,0.075
F,1910,Daisy,8,MI,189,0.092,273,0.066
F,1910,Delia,5,MI,238,0.058,368,0.041
F,1910,Dessie,5,MI,238,0.058,368,0.041
F,1911,Dorothy,320,MI,3,3.404,3,2.469
F,1911,Doris,74,MI,33,0.787,43,0.571
F,1911,Daisy,19,MI,109,0.202,156,0.147
F,1911,Dora,19,MI,109,0.202,156,0.147
F,1911,Dorothea,18,MI,115,0.191,164,0.139
F,1911,Donna,17,MI,121,0.181,172,0.131
F,1911,Dolores,14,MI,134,0.149,192,0.108
F,1911,Della,12,MI,149,0.128,215,0.093
F,1911,Delia,9,MI,181,0.096,267,0.069
F,1911,Delphine,6,MI,223,0.064,333,0.046
F,1912,Dorothy,458,MI,3,3.497,4,2.082
F,1912,Doris,119,MI,26,0.909,42,0.541
F,1912,Dorothea,29,MI,102,0.221,167,0.132
F,1912,Donna,27,MI,110,0.206,179,0.123
F,1912,Dora,22,MI,127,0.168,210,0.1
F,1912,Dolores,14,MI,169,0.107,291,0.064
F,1912,Della,9,MI,223,0.069,386,0.041
F,1912,Daisy,7,MI,244,0.053,426,0.032
F,1912,Dorotha,6,MI,262,0.046,457,0.027
F,1913,Dorothy,520,MI,3,3.311,4,1.893
F,1913,Doris,143,MI,28,0.911,47,0.521
F,1913,Donna,34,MI,106,0.216,174,0.124
F,1913,Dora,20,MI,144,0.127,252,0.073
F,1913,Dolores,19,MI,150,0.121,262,0.069
F,1913,Dorothea,18,MI,156,0.115,274,0.066
F,1913,Della,17,MI,162,0.108,283,0.062
F,1913,Daisy,8,MI,253,0.051,459,0.029
F,1913,Delia,8,MI,253,0.051,459,0.029
F,1913,Delores,7,MI,273,0.045,486,0.025
F,1913,Delma,6,MI,299,0.038,532,0.022
F,1913,Delphine,5,MI,322,0.032,584,0.018
F,1913,Dena,5,MI,322,0.032,584,0.018
F,1914,Dorothy,696,MI,3,3.791,4,2.063
F,1914,Doris,179,MI,20,0.975,39,0.531
F,1914,Donna,43,MI,96,0.234,172,0.127
