sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1910,Elizabeth,132,MI,13,1.522,16,1.094
F,1910,Evelyn,129,MI,15,1.487,18,1.069
F,1910,Eleanor,88,MI,23,1.014,32,0.729
F,1910,Edna,81,MI,29,0.934,38,0.671
F,1910,Esther,81,MI,29,0.934,38,0.671
F,1910,Ethel,81,MI,29,0.934,38,0.671
F,1910,Edith,69,MI,37,0.795,47,0.572
F,1910,Eva,57,MI,42,0.657,55,0.472
F,1910,Elsie,52,MI,48,0.599,61,0.431
F,1910,Ellen,35,MI,61,0.403,89,0.29
F,1910,Ella,32,MI,67,0.369,99,0.265
F,1910,Emma,31,MI,68,0.357,100,0.257
F,1910,Erma,23,MI,88,0.265,127,0.191
F,1910,Emily,19,MI,105,0.219,151,0.157
F,1910,Eileen,17,MI,111,0.196,159,0.141
F,1910,Eunice,16,MI,121,0.184,171,0.133
F,1910,Eleanore,12,MI,144,0.138,207,0.099
F,1910,Estelle,12,MI,144,0.138,207,0.099
F,1910,Elaine,11,MI,153,0.127,219,0.091
F,1910,Effie,10,MI,164,0.115,235,0.083
F,1910,Eugenia,10,MI,164,0.115,235,0.083
F,1910,Elma,9,MI,177,0.104,254,0.075
F,1910,Etta,8,MI,189,0.092,273,0.066
F,1910,Edythe,7,MI,204,0.081,301,0.058
F,1910,Eloise,6,MI,220,0.069,336,0.05
F,1910,Elva,6,MI,220,0.069,336,0.05
F,1910,Elvira,6,MI,220,0.069,336,0.05
F,1910,Estella,5,MI,238,0.058,368,0.041
F,1911,Elizabeth,143,MI,11,1.521,13,1.103
F,1911,Evelyn,132,MI,13,1.404,16,1.019
F,1911,Esther,101,MI,19,1.074,26,0.779
F,1911,Eleanor,94,MI,22,1.0,30,0.725
F,1911,Edna,87,MI,25,0.925,35,0.671
F,1911,Elsie,80,MI,30,0.851,40,0.617
F,1911,Ethel,80,MI,30,0.851,40,0.617
F,1911,Edith,68,MI,41,0.723,52,0.525
F,1911,Eva,56,MI,50,0.596,64,0.432
F,1911,Ellen,51,MI,52,0.542,67,0.394
F,1911,Emma,35,MI,65,0.372,93,0.27
F,1911,Ella,32,MI,74,0.34,103,0.247
F,1911,Emily,22,MI,97,0.234,141,0.17
F,1911,Erma,22,MI,97,0.234,141,0.17
F,1911,Estelle,22,MI,97,0.234,141,0.17
F,1911,Eunice,17,MI,121,0.181,172,0.131
F,1911,Eleanore,15,MI,131,0.16,187,0.116
F,1911,Eileen,14,MI,134,0.149,192,0.108
F,1911,Effie,11,MI,165,0.117,239,0.085
F,1911,Elaine,11,MI,165,0.117,239,0.085
F,1911,Eugenia,11,MI,165,0.117,239,0.085
F,1911,Elva,9,MI,181,0.096,266,0.069
F,1911,Eloise,8,MI,199,0.085,293,0.062
F,1911,Elvira,7,MI,212,0.074,310,0.054
F,1911,Elma,6,MI,223,0.064,333,0.046
F,1911,Estella,6,MI,223,0.064,333,0.046
F,1911,Ethelyn,6,MI,223,0.064,333,0.046
F,1911,Etta,6,MI,223,0.064,333,0.046
F,1911,Elinor,5,MI,250,0.053,376,0.039
F,1911,Enid,5,MI,250,0.053,376,0.039
F,1912,Elizabeth,198,MI,8,1.512,18,0.9
F,1912,Evelyn,164,MI,14,1.252,24,0.745
F,1912,Esther,143,MI,17,1.092,29,0.65
F,1912,Edna,141,MI,18,1.077,30,0.641
F,1912,Eleanor,125,MI,23,0.954,36,0.568
F,1912,Ethel,112,MI,33,0.855,50,0.509
F,1912,Eva,88,MI,41,0.672,65,0.4
F,1912,Edith,86,MI,44,0.657,70,0.391
F,1912,Elsie,75,MI,49,0.573,79,0.341
F,1912,Emma,59,MI,61,0.45,100,0.268
F,1912,Ellen,49,MI,69,0.374,115,0.223
F,1912,Ella,33,MI,89,0.252,147,0.15
F,1912,Erma,31,MI,95,0.237,155,0.141
F,1912,Emily,29,MI,102,0.221,167,0.132
F,1912,Eleanore,26,MI,114,0.199,185,0.118
F,1912,Eunice,23,MI,122,0.176,202,0.105
F,1912,Elma,18,MI,144,0.137,243,0.082
F,1912,Elaine,16,MI,156,0.122,268,0.073
F,1912,Eileen,15,MI,160,0.115,275,0.068
F,1912,Estelle,14,MI,169,0.107,289,0.064
F,1912,Effie,12,MI,186,0.092,319,0.055
F,1912,Elva,11,MI,198,0.084,340,0.05
F,1912,Elvira,11,MI,198,0.084,340,0.05
F,1912,Ernestine,10,MI,209,0.076,356,0.045
F,1912,Elna,9,MI,223,0.069,383,0.041
F,1912,Eugenia,9,MI,223,0.069,383,0.041
F,1912,Edythe,8,MI,230,0.061,402,0.036
F,1912,Etta,7,MI,244,0.053,427,0.032
F,1912,Elinor,6,MI,262,0.046,460,0.027
F,1912,Elnora,6,MI,262,0.046,460,0.027
F,1912,Eula,6,MI,262,0.046,460,0.027
F,1912,Elda,5,MI,283,0.038,504,0.023
F,1912,Elvera,5,MI,283,0.038,504,0.023
F,1912,Estella,5,MI,283,0.038,504,0.023
F,1912,Eve,5,MI,283,0.038,504,0.023
