sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1910,Gladys,133,MI,12,1.533,15,1.102
F,1910,Gertrude,103,MI,17,1.187,25,0.853
F,1910,Grace,95,MI,18,1.095,27,0.787
F,1910,Genevieve,53,MI,45,0.611,58,0.439
F,1910,Geraldine,30,MI,70,0.346,103,0.249
F,1910,Gwendolyn,14,MI,130,0.161,187,0.116
F,1910,Goldie,13,MI,134,0.15,195,0.108
F,1910,Geneva,10,MI,164,0.115,235,0.083
F,1910,Georgia,9,MI,177,0.104,254,0.075
F,1910,Greta,5,MI,238,0.058,368,0.041
F,1911,Gertrude,111,MI,16,1.181,20,0.857
F,1911,Grace,111,MI,16,1.181,20,0.857
F,1911,Gladys,88,MI,24,0.936,33,0.679
F,1911,Genevieve,49,MI,54,0.521,69,0.378
F,1911,Geraldine,29,MI,79,0.308,111,0.224
F,1911,Goldie,13,MI,140,0.138,202,0.1
F,1911,Georgia,12,MI,149,0.128,215,0.093
F,1911,Geneva,10,MI,174,0.106,254,0.077
F,1911,Greta,6,MI,223,0.064,333,0.046
F,1911,Gretchen,6,MI,223,0.064,333,0.046
F,1911,Garnet,5,MI,250,0.053,376,0.039
F,1911,Gwendolyn,5,MI,250,0.053,376,0.039
F,1912,Gertrude,145,MI,16,1.107,28,0.659
F,1912,Gladys,135,MI,19,1.031,32,0.614
F,1912,Grace,133,MI,21,1.015,34,0.604
F,1912,Genevieve,94,MI,38,0.718,61,0.427
F,1912,Geraldine,56,MI,63,0.428,102,0.255
F,1912,Goldie,21,MI,132,0.16,221,0.095
F,1912,Gwendolyn,17,MI,150,0.13,255,0.077
F,1912,Georgia,13,MI,178,0.099,309,0.059
F,1912,Geneva,12,MI,186,0.092,323,0.055
F,1912,Gretchen,8,MI,230,0.061,403,0.036
F,1912,Greta,6,MI,262,0.046,457,0.027
F,1912,Georgina,5,MI,283,0.038,500,0.023
F,1912,Glenna,5,MI,283,0.038,500,0.023
F,1913,Gertrude,181,MI,17,1.152,29,0.659
F,1913,Gladys,146,MI,25,0.93,42,0.532
F,1913,Grace,142,MI,29,0.904,48,0.517
F,1913,Genevieve,108,MI,39,0.688,64,0.393
F,1913,Geraldine,58,MI,68,0.369,118,0.211
F,1913,Georgia,22,MI,137,0.14,237,0.08
F,1913,Goldie,20,MI,144,0.127,252,0.073
F,1913,Geneva,10,MI,214,0.064,391,0.036
F,1913,Gwendolyn,9,MI,238,0.057,429,0.033
F,1913,Germaine,7,MI,273,0.045,486,0.025
F,1913,Gretchen,6,MI,299,0.038,532,0.022
F,1913,Glenna,5,MI,322,0.032,584,0.018
F,1914,Gertrude,206,MI,17,1.122,32,0.611
F,1914,Grace,165,MI,23,0.899,44,0.489
F,1914,Gladys,138,MI,34,0.752,60,0.409
F,1914,Genevieve,126,MI,39,0.686,66,0.373
F,1914,Geraldine,82,MI,61,0.447,108,0.243
F,1914,Goldie,33,MI,123,0.18,211,0.098
F,1914,Georgia,20,MI,164,0.109,298,0.059
F,1914,Geneva,14,MI,200,0.076,368,0.041
F,1914,Gretchen,9,MI,243,0.049,458,0.027
F,1914,Gwendolyn,9,MI,243,0.049,458,0.027
F,1914,Germaine,5,MI,332,0.027,632,0.015
F,1914,Gloria,5,MI,332,0.027,632,0.015
F,1914,Golda,5,MI,332,0.027,632,0.015
F,1915,Gertrude,264,MI,21,0.949,43,0.508
F,1915,Grace,255,MI,23,0.917,46,0.49
F,1915,Genevieve,231,MI,27,0.83,51,0.444
F,1915,Gladys,191,MI,35,0.687,64,0.367
F,1915,Geraldine,118,MI,61,0.424,109,0.227
F,1915,Goldie,31,MI,154,0.111,281,0.06
F,1915,Geneva,26,MI,174,0.093,317,0.05
F,1915,Georgia,26,MI,174,0.093,317,0.05
F,1915,Gwendolyn,14,MI,240,0.05,459,0.027
F,1915,Germaine,12,MI,261,0.043,492,0.023
F,1915,Gretchen,11,MI,274,0.04,516,0.021
F,1915,Gloria,9,MI,302,0.032,571,0.017
F,1915,Georgina,7,MI,354,0.025,662,0.013
F,1915,Greta,7,MI,354,0.025,662,0.013
F,1915,Georgianna,5,MI,420,0.018,786,0.01
F,1916,Gertrude,309,MI,20,0.958,39,0.516
F,1916,Grace,270,MI,27,0.837,49,0.451
F,1916,Genevieve,239,MI,32,0.741,59,0.399
F,1916,Gladys,224,MI,37,0.694,66,0.374
F,1916,Geraldine,148,MI,59,0.459,106,0.247
F,1916,Goldie,35,MI,162,0.108,290,0.058
F,1916,Geneva,33,MI,168,0.102,302,0.055
F,1916,Georgia,31,MI,174,0.096,314,0.052
F,1916,Gretchen,25,MI,192,0.077,357,0.042
F,1916,Gwendolyn,21,MI,206,0.065,386,0.035
F,1916,Gail,14,MI,264,0.043,488,0.023
F,1916,Germaine,11,MI,293,0.034,545,0.018
F,1916,Glenna,11,MI,293,0.034,545,0.018
F,1916,Georgina,8,MI,351,0.025,652,0.013
F,1916,Greta,8,MI,351,0.025,652,0.013
F,1916,Gene,7,MI,378,0.022,377,0.037
F,1916,Garnet,6,MI,420,0.019,765,0.01
F,1916,Gayle,6,MI,420,0.019,765,0.01
F,1916,Georgene,5,MI,470,0.015,855,0.008
F,1916,Georgiana,5,MI,470,0.015,855,0.008
F,1916,Gloria,5,MI,470,0.015,855,0.008
F,1916,Grayce,5,MI,470,0.015,855,0.008
F,1917,Gertrude,329,MI,20,0.963,39,0.518
F,1917,Genevieve,270,MI,30,0.79,53,0.425
F,1917,Grace,268,MI,31,0.784,54,0.422
F,1917,Gladys,225,MI,37,0.658,67,0.354
F,1917,Geraldine,189,MI,49,0.553,87,0.298
F,1917,Geneva,29,MI,182,0.085,338,0.046
F,1917,Georgia,27,MI,188,0.079,351,0.043
F,1917,Goldie,27,MI,188,0.079,351,0.043
F,1917,Gwendolyn,22,MI,210,0.064,396,0.035
F,1917,Gretchen,17,MI,237,0.05,451,0.027
F,1917,Gloria,14,MI,272,0.041,510,0.022
F,1917,Gail,13,MI,289,0.038,436,0.028
F,1917,Garnet,12,MI,299,0.035,556,0.019
F,1917,Gene,8,MI,374,0.023,385,0.036
F,1917,Germaine,7,MI,400,0.02,730,0.011
F,1917,Greta,6,MI,431,0.018,789,0.009
F,1917,Georgena,5,MI,480,0.015,883,0.008
F,1917,Georgetta,5,MI,480,0.015,883,0.008
