sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1910,Irene,137,MI,11,1.579,13,1.135
F,1910,Ida,34,MI,64,0.392,94,0.282
F,1910,Irma,20,MI,102,0.231,145,0.166
F,1910,Inez,17,MI,111,0.196,159,0.141
F,1910,Isabelle,17,MI,111,0.196,159,0.141
F,1910,Ina,14,MI,130,0.161,187,0.116
F,1910,Ila,11,MI,153,0.127,219,0.091
F,1910,Iva,11,MI,153,0.127,219,0.091
F,1910,Iola,7,MI,204,0.081,301,0.058
F,1910,Ione,6,MI,220,0.069,336,0.05
F,1910,Isabel,6,MI,220,0.069,336,0.05
F,1910,Ivah,6,MI,220,0.069,336,0.05
F,1911,Irene,139,MI,12,1.478,14,1.073
F,1911,Ida,34,MI,70,0.362,98,0.262
F,1911,Irma,22,MI,97,0.234,141,0.17
F,1911,Inez,21,MI,104,0.223,149,0.162
F,1911,Iva,18,MI,115,0.191,164,0.139
F,1911,Ila,16,MI,127,0.17,181,0.123
F,1911,Isabel,15,MI,131,0.16,187,0.116
F,1911,Isabelle,14,MI,134,0.149,192,0.108
F,1911,Ione,8,MI,199,0.085,293,0.062
F,1911,Ina,7,MI,212,0.074,310,0.054
F,1911,Ilene,5,MI,250,0.053,376,0.039
F,1911,Imogene,5,MI,250,0.053,376,0.039
F,1911,Ivah,5,MI,250,0.053,376,0.039
F,1912,Irene,201,MI,7,1.535,17,0.914
F,1912,Ida,60,MI,59,0.458,96,0.273
F,1912,Iva,28,MI,106,0.214,174,0.127
F,1912,Irma,22,MI,127,0.168,210,0.1
F,1912,Isabelle,19,MI,140,0.145,237,0.086
F,1912,Inez,18,MI,144,0.137,243,0.082
F,1912,Ila,17,MI,150,0.13,255,0.077
F,1912,Isabel,16,MI,156,0.122,268,0.073
F,1912,Ina,12,MI,186,0.092,319,0.055
F,1912,Ione,8,MI,230,0.061,402,0.036
F,1912,Isabell,6,MI,262,0.046,460,0.027
F,1912,Isabella,6,MI,262,0.046,460,0.027
F,1912,Ilah,5,MI,283,0.038,504,0.023
F,1913,Irene,249,MI,10,1.585,19,0.906
F,1913,Ida,56,MI,71,0.357,122,0.204
F,1913,Isabelle,27,MI,124,0.172,208,0.098
F,1913,Isabel,26,MI,126,0.166,212,0.095
F,1913,Inez,25,MI,128,0.159,217,0.091
F,1913,Irma,21,MI,139,0.134,241,0.076
F,1913,Iva,19,MI,150,0.121,261,0.069
F,1913,Ione,15,MI,175,0.096,303,0.055
F,1913,Ina,11,MI,204,0.07,372,0.04
F,1913,Iris,11,MI,204,0.07,372,0.04
F,1913,Ila,10,MI,214,0.064,391,0.036
