sex,year,name,frequency,State,rank,percentage
F,1910,Josephine,84,MI,33,0.696
F,1910,Julia,46,MI,72,0.381
F,1910,Jean,44,MI,75,0.365
F,1910,Jennie,33,MI,96,0.273
F,1910,Jessie,25,MI,117,0.207
F,1910,Jane,21,MI,136,0.174
F,1910,June,21,MI,136,0.174
F,1910,Jeanette,16,MI,171,0.133
F,1910,Janet,14,MI,187,0.116
F,1910,Jeannette,9,MI,254,0.075
F,1910,Joyce,9,MI,254,0.075
F,1910,Juanita,8,MI,273,0.066
F,1910,Joan,7,MI,301,0.058
F,1910,Joanna,7,MI,301,0.058
F,1910,Jeanne,5,MI,368,0.041
F,1911,Josephine,81,MI,39,0.625
F,1911,Julia,59,MI,61,0.455
F,1911,Jean,43,MI,77,0.332
F,1911,Jane,25,MI,122,0.193
F,1911,Jennie,25,MI,122,0.193
F,1911,June,22,MI,141,0.17
F,1911,Jessie,19,MI,156,0.147
F,1911,Janet,16,MI,181,0.123
F,1911,Juanita,13,MI,201,0.1
F,1911,Jeanette,12,MI,214,0.093
F,1911,Joan,12,MI,214,0.093
F,1911,Jeannette,9,MI,266,0.069
F,1911,Johanna,8,MI,293,0.062
F,1911,Joyce,7,MI,310,0.054
F,1911,Jeanne,6,MI,333,0.046
F,1912,Josephine,110,MI,52,0.5
F,1912,Jean,86,MI,70,0.391
F,1912,Julia,64,MI,90,0.291
F,1912,Jane,45,MI,128,0.205
F,1912,Jennie,45,MI,128,0.205
F,1912,June,30,MI,162,0.136
F,1912,Jeanette,24,MI,199,0.109
F,1912,Janet,20,MI,226,0.091
F,1912,Jeanne,18,MI,243,0.082
F,1912,Jessie,18,MI,243,0.082
F,1912,Johanna,14,MI,289,0.064
F,1912,Juanita,14,MI,289,0.064
F,1912,Joan,9,MI,383,0.041
F,1912,Joyce,8,MI,402,0.036
F,1912,Jeannette,6,MI,460,0.027
F,1912,Jacqueline,5,MI,504,0.023
F,1913,Josephine,144,MI,45,0.524
F,1913,Jean,107,MI,68,0.39
F,1913,Julia,65,MI,106,0.237
F,1913,Jane,63,MI,112,0.229
F,1913,June,54,MI,127,0.197
F,1913,Jennie,50,MI,132,0.182
F,1913,Jeanette,36,MI,162,0.131
F,1913,Janet,35,MI,168,0.127
F,1913,Jessie,29,MI,198,0.106
F,1913,Jeannette,21,MI,241,0.076
F,1913,Joan,20,MI,251,0.073
F,1913,Juanita,14,MI,316,0.051
F,1913,Jeanne,13,MI,333,0.047
F,1913,Joyce,9,MI,429,0.033
F,1913,Johanna,8,MI,460,0.029
F,1913,Joy,5,MI,586,0.018
F,1913,Judith,5,MI,586,0.018
F,1914,Josephine,160,MI,48,0.474
F,1914,Jean,142,MI,59,0.421
F,1914,Julia,113,MI,80,0.335
F,1914,Jane,84,MI,106,0.249
F,1914,Jennie,58,MI,134,0.172
F,1914,June,52,MI,148,0.154
F,1914,Janet,39,MI,184,0.116
F,1914,Jessie,39,MI,184,0.116
F,1914,Jeanette,37,MI,191,0.11
F,1914,Joan,25,MI,253,0.074
F,1914,Jeannette,24,MI,258,0.071
F,1914,Jeanne,23,MI,272,0.068
F,1914,Johanna,20,MI,299,0.059
F,1914,Joyce,16,MI,342,0.047
F,1914,Juanita,15,MI,349,0.044
F,1914,Judith,6,MI,578,0.018
F,1914,Julie,6,MI,578,0.018
F,1914,Janice,5,MI,635,0.015
F,1915,Josephine,247,MI,46,0.475
F,1915,Jean,241,MI,48,0.463
F,1915,Julia,154,MI,86,0.296
F,1915,Jane,147,MI,91,0.283
F,1915,June,139,MI,96,0.267
F,1915,Jennie,111,MI,114,0.213
F,1915,Jeanette,62,MI,180,0.119
F,1915,Janet,54,MI,198,0.104
F,1915,Jessie,49,MI,210,0.094
F,1915,Jeannette,41,MI,236,0.079
F,1915,Joyce,38,MI,248,0.073
F,1915,Joan,32,MI,270,0.062
F,1915,Juanita,32,MI,270,0.062
F,1915,Jeanne,30,MI,289,0.058
F,1915,Johanna,22,MI,350,0.042
F,1915,Joanna,13,MI,476,0.025
F,1915,Joanne,9,MI,575,0.017
F,1915,Julie,9,MI,575,0.017
F,1915,Judith,8,MI,616,0.015
F,1915,Justine,8,MI,616,0.015
F,1915,Janette,7,MI,668,0.013
F,1915,Joann,7,MI,668,0.013
F,1915,Janice,5,MI,794,0.01
F,1915,Josie,5,MI,794,0.01
F,1915,Joy,5,MI,794,0.01
F,1916,Josephine,320,MI,37,0.535
F,1916,Jean,271,MI,47,0.453
F,1916,Julia,189,MI,78,0.316
F,1916,June,162,MI,96,0.271
F,1916,Jane,160,MI,98,0.267
F,1916,Jennie,121,MI,121,0.202
F,1916,Jeanette,79,MI,163,0.132
F,1916,Janet,71,MI,186,0.119
F,1916,Jessie,59,MI,203,0.099
F,1916,Jeannette,47,MI,234,0.079
F,1916,Jeanne,46,MI,241,0.077
F,1916,Joyce,46,MI,241,0.077
F,1916,Joan,41,MI,261,0.069
F,1916,Juanita,38,MI,276,0.063
F,1916,Johanna,33,MI,301,0.055
F,1916,Joy,15,MI,473,0.025
F,1916,Janice,10,MI,583,0.017
F,1916,Jayne,9,MI,611,0.015
F,1916,Jewel,8,MI,656,0.013
F,1916,Jacqueline,7,MI,710,0.012
F,1916,John,7,MI,710,0.012
F,1916,Jeane,6,MI,776,0.01
F,1916,Jenny,6,MI,776,0.01
F,1916,Joanne,6,MI,776,0.01
F,1916,Juliana,6,MI,776,0.01
F,1916,Julie,6,MI,776,0.01
F,1916,Justine,6,MI,776,0.01
F,1916,Joanna,5,MI,866,0.008
F,1916,Judy,5,MI,866,0.008
F,1917,Jean,323,MI,39,0.509
F,1917,Josephine,310,MI,42,0.488
F,1917,June,248,MI,58,0.39
F,1917,Jane,206,MI,76,0.324
F,1917,Julia,196,MI,79,0.309
F,1917,Jennie,136,MI,119,0.214
F,1917,Jeanette,85,MI,158,0.134
F,1917,Jessie,83,MI,164,0.131
F,1917,Joan,72,MI,189,0.113
F,1917,Janet,62,MI,209,0.098
F,1917,Jeanne,60,MI,211,0.094
F,1917,Joyce,53,MI,227,0.083
F,1917,Juanita,42,MI,270,0.066
F,1917,Jeannette,34,MI,305,0.054
F,1917,Johanna,32,MI,314,0.05
F,1917,Judith,14,MI,511,0.022
F,1917,Janice,12,MI,557,0.019
F,1917,Joy,11,MI,587,0.017
F,1917,Jacqueline,10,MI,615,0.016
F,1917,John,10,MI,615,0.016
F,1917,Joanna,9,MI,650,0.014
F,1917,Joanne,8,MI,687,0.013
F,1917,Joann,7,MI,736,0.011
F,1917,Julie,7,MI,736,0.011
F,1917,Janina,6,MI,795,0.009
F,1917,Jayne,6,MI,795,0.009
F,1917,Jeane,6,MI,795,0.009
F,1917,Jenny,6,MI,795,0.009
F,1917,Janette,5,MI,892,0.008
F,1917,Jerry,5,MI,892,0.008
F,1918,Jean,398,MI,34,0.573
F,1918,Josephine,325,MI,46,0.468
F,1918,June,294,MI,52,0.423
F,1918,Jane,237,MI,72,0.341
F,1918,Julia,162,MI,109,0.233
F,1918,Jennie,114,MI,137,0.164
F,1918,Janet,91,MI,161,0.131
F,1918,Jeanette,90,MI,163,0.13
F,1918,Joyce,85,MI,173,0.122
F,1918,Jeanne,78,MI,187,0.112
F,1918,Jessie,66,MI,214,0.095
F,1918,Joan,62,MI,225,0.089
F,1918,Juanita,47,MI,256,0.068
F,1918,Jeannette,46,MI,265,0.066
F,1918,Johanna,19,MI,429,0.027
F,1918,Janice,15,MI,489,0.022
F,1918,Joy,15,MI,489,0.022
F,1918,Joanne,14,MI,506,0.02
F,1918,Jacqueline,11,MI,586,0.016
F,1918,Jeane,10,MI,633,0.014
F,1918,Judith,10,MI,633,0.014
F,1918,Jenny,8,MI,706,0.012
F,1918,Jewel,8,MI,706,0.012
F,1918,Joanna,8,MI,706,0.012
F,1918,John,8,MI,706,0.012
F,1918,Julie,8,MI,706,0.012
F,1918,Justine,8,MI,706,0.012
F,1918,Janette,7,MI,751,0.01
F,1918,Judy,7,MI,751,0.01
F,1918,Joann,6,MI,824,0.009
F,1918,Josie,5,MI,914,0.007
F,1919,Jean,389,MI,32,0.618
F,1919,Josephine,294,MI,46,0.467
F,1919,June,291,MI,47,0.462
F,1919,Jane,224,MI,64,0.356
F,1919,Julia,172,MI,95,0.273
F,1919,Jennie,124,MI,128,0.197
F,1919,Jeanne,109,MI,139,0.173
F,1919,Joyce,94,MI,149,0.149
F,1919,Janet,91,MI,156,0.145
F,1919,Joan,73,MI,178,0.116
F,1919,Jeanette,68,MI,191,0.108
F,1919,Jessie,51,MI,225,0.081
F,1919,Juanita,43,MI,248,0.068
F,1919,Jeannette,35,MI,284,0.056
F,1919,Johanna,25,MI,354,0.04
F,1919,Janice,18,MI,423,0.029
F,1919,Jacqueline,16,MI,459,0.025
F,1919,Joanna,13,MI,517,0.021
F,1919,Joy,13,MI,517,0.021
F,1919,Judith,12,MI,538,0.019
