sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1910,Katherine,53,MI,45,0.611,58,0.439
F,1910,Kathryn,37,MI,59,0.427,84,0.307
F,1910,Kathleen,17,MI,111,0.196,159,0.141
F,1910,Katharine,5,MI,238,0.058,368,0.041
F,1911,Katherine,60,MI,44,0.638,58,0.463
F,1911,Kathryn,45,MI,56,0.479,72,0.347
F,1911,Kathleen,23,MI,92,0.245,135,0.177
F,1911,Katie,5,MI,250,0.053,376,0.039
F,1912,Katherine,72,MI,50,0.55,82,0.327
F,1912,Kathryn,52,MI,65,0.397,107,0.236
F,1912,Kathleen,34,MI,88,0.26,146,0.155
F,1912,Katharine,13,MI,178,0.099,309,0.059
F,1912,Katie,7,MI,244,0.053,426,0.032
F,1913,Katherine,99,MI,45,0.63,76,0.36
F,1913,Kathryn,71,MI,58,0.452,100,0.258
F,1913,Kathleen,38,MI,90,0.242,155,0.138
F,1913,Katharine,5,MI,322,0.032,584,0.018
F,1914,Katherine,90,MI,53,0.49,98,0.267
F,1914,Kathryn,78,MI,66,0.425,114,0.231
F,1914,Kathleen,53,MI,83,0.289,146,0.157
F,1914,Kate,8,MI,259,0.044,489,0.024
F,1914,Kay,8,MI,259,0.044,489,0.024
F,1914,Katharine,7,MI,283,0.038,528,0.021
F,1915,Katherine,165,MI,45,0.593,80,0.317
F,1915,Kathryn,109,MI,67,0.392,116,0.21
F,1915,Kathleen,72,MI,88,0.259,159,0.138
F,1915,Kate,7,MI,354,0.025,662,0.013
F,1915,Katheryn,5,MI,420,0.018,786,0.01
F,1915,Kathlyn,5,MI,420,0.018,786,0.01
F,1916,Katherine,159,MI,54,0.493,100,0.266
F,1916,Kathryn,146,MI,61,0.452,108,0.244
F,1916,Kathleen,101,MI,79,0.313,137,0.169
F,1916,Katharine,11,MI,293,0.034,545,0.018
F,1916,Kate,10,MI,317,0.031,580,0.017
F,1916,Kay,9,MI,326,0.028,608,0.015
F,1916,Katie,8,MI,351,0.025,652,0.013
F,1916,Kathlyn,7,MI,378,0.022,703,0.012
F,1916,Katheryn,5,MI,470,0.015,855,0.008
F,1917,Katherine,194,MI,48,0.568,84,0.305
F,1917,Kathryn,139,MI,65,0.407,114,0.219
F,1917,Kathleen,88,MI,85,0.258,152,0.139
F,1917,Kay,11,MI,314,0.032,587,0.017
F,1917,Katharine,10,MI,330,0.029,614,0.016
F,1917,Katheryn,10,MI,330,0.029,614,0.016
F,1917,Katie,6,MI,431,0.018,789,0.009
F,1917,Kathrine,5,MI,480,0.015,883,0.008
F,1917,Kathryne,5,MI,480,0.015,883,0.008
F,1918,Katherine,169,MI,55,0.461,104,0.243
F,1918,Kathryn,136,MI,72,0.371,127,0.196
F,1918,Kathleen,113,MI,82,0.308,141,0.163
F,1918,Kay,14,MI,265,0.038,508,0.02
F,1918,Katharine,10,MI,335,0.027,629,0.014
F,1918,Katie,7,MI,405,0.019,740,0.01
F,1918,Katheryn,6,MI,447,0.016,811,0.009
F,1918,Kathryne,6,MI,447,0.016,811,0.009
F,1918,Kathlyn,5,MI,493,0.014,898,0.007
F,1919,Katherine,173,MI,54,0.511,94,0.275
F,1919,Kathryn,142,MI,64,0.419,115,0.226
