sex,year,name,frequency,State,rank,percentage
F,1910,Mary,349,MI,2,2.891
F,1910,Margaret,272,MI,3,2.253
F,1910,Mildred,159,MI,8,1.317
F,1910,Marie,143,MI,11,1.185
F,1910,Martha,83,MI,34,0.688
F,1910,Marion,81,MI,38,0.671
F,1910,Marguerite,61,MI,50,0.505
F,1910,Mabel,58,MI,52,0.48
F,1910,Myrtle,56,MI,57,0.464
F,1910,Marian,50,MI,65,0.414
F,1910,Marjorie,47,MI,70,0.389
F,1910,Mae,29,MI,106,0.24
F,1910,Minnie,28,MI,109,0.232
F,1910,Mable,21,MI,136,0.174
F,1910,Madeline,19,MI,151,0.157
F,1910,Maxine,18,MI,156,0.149
F,1910,Marcella,11,MI,219,0.091
F,1910,Matilda,11,MI,219,0.091
F,1910,May,11,MI,219,0.091
F,1910,Miriam,9,MI,254,0.075
F,1910,Muriel,9,MI,254,0.075
F,1910,Maria,7,MI,301,0.058
F,1910,Mamie,5,MI,368,0.041
F,1910,Margie,5,MI,368,0.041
F,1910,Marvel,5,MI,368,0.041
F,1910,Maude,5,MI,368,0.041
F,1910,Mayme,5,MI,368,0.041
F,1910,Melva,5,MI,368,0.041
F,1910,Mercedes,5,MI,368,0.041
F,1910,Merle,5,MI,368,0.041
F,1910,Millie,5,MI,368,0.041
F,1910,Myra,5,MI,368,0.041
F,1911,Mary,456,MI,1,3.519
F,1911,Margaret,310,MI,4,2.392
F,1911,Mildred,175,MI,7,1.35
F,1911,Marie,158,MI,9,1.219
F,1911,Marion,94,MI,30,0.725
F,1911,Martha,73,MI,46,0.563
F,1911,Marguerite,60,MI,58,0.463
F,1911,Marjorie,60,MI,58,0.463
F,1911,Marian,59,MI,61,0.455
F,1911,Mabel,58,MI,63,0.448
F,1911,Myrtle,39,MI,81,0.301
F,1911,Madeline,30,MI,108,0.231
F,1911,Maxine,23,MI,135,0.177
F,1911,Minnie,23,MI,135,0.177
F,1911,Mable,18,MI,164,0.139
F,1911,Mae,18,MI,164,0.139
F,1911,Muriel,13,MI,201,0.1
F,1911,Marcella,12,MI,214,0.093
F,1911,Miriam,10,MI,253,0.077
F,1911,Maria,9,MI,266,0.069
F,1911,Maude,9,MI,266,0.069
F,1911,Merle,8,MI,293,0.062
F,1911,Mamie,7,MI,310,0.054
F,1911,Monica,7,MI,310,0.054
F,1911,Madge,5,MI,376,0.039
F,1911,Maggie,5,MI,376,0.039
F,1911,May,5,MI,376,0.039
F,1911,Mina,5,MI,376,0.039
F,1911,Myrna,5,MI,376,0.039
F,1912,Mary,628,MI,1,2.854
F,1912,Margaret,426,MI,5,1.936
F,1912,Mildred,221,MI,14,1.004
F,1912,Marie,195,MI,19,0.886
F,1912,Martha,117,MI,43,0.532
F,1912,Marion,115,MI,45,0.523
F,1912,Marjorie,94,MI,61,0.427
F,1912,Marian,87,MI,68,0.395
F,1912,Marguerite,77,MI,77,0.35
F,1912,Mabel,71,MI,84,0.323
F,1912,Myrtle,55,MI,103,0.25
F,1912,Minnie,33,MI,147,0.15
F,1912,Madeline,32,MI,150,0.145
F,1912,Muriel,30,MI,162,0.136
F,1912,Maxine,28,MI,174,0.127
F,1912,Mae,26,MI,185,0.118
F,1912,Marcella,25,MI,193,0.114
F,1912,Mable,23,MI,202,0.105
F,1912,Mamie,17,MI,255,0.077
F,1912,Miriam,15,MI,275,0.068
F,1912,Maude,11,MI,340,0.05
F,1912,May,11,MI,340,0.05
F,1912,Matilda,10,MI,356,0.045
F,1912,Mayme,10,MI,356,0.045
F,1912,Maria,8,MI,402,0.036
F,1912,Marvel,7,MI,427,0.032
F,1912,Merle,7,MI,427,0.032
F,1912,Monica,7,MI,427,0.032
F,1912,Madeleine,6,MI,460,0.027
F,1912,Mina,6,MI,460,0.027
F,1912,Margery,5,MI,504,0.023
F,1912,Melba,5,MI,504,0.023
F,1912,Millicent,5,MI,504,0.023
F,1912,Myra,5,MI,504,0.023
F,1913,Mary,744,MI,1,2.709
F,1913,Margaret,485,MI,6,1.766
F,1913,Mildred,289,MI,13,1.052
F,1913,Marie,263,MI,15,0.957
F,1913,Marion,151,MI,39,0.55
F,1913,Martha,122,MI,55,0.444
F,1913,Marjorie,120,MI,58,0.437
F,1913,Marian,108,MI,64,0.393
F,1913,Marguerite,82,MI,89,0.299
F,1913,Myrtle,82,MI,89,0.299
F,1913,Mabel,63,MI,112,0.229
F,1913,Maxine,48,MI,135,0.175
F,1913,Madeline,35,MI,168,0.127
F,1913,Mae,35,MI,168,0.127
F,1913,Minnie,29,MI,198,0.106
F,1913,Miriam,24,MI,225,0.087
F,1913,Mable,23,MI,233,0.084
F,1913,Muriel,17,MI,282,0.062
F,1913,Marcella,15,MI,303,0.055
F,1913,Matilda,14,MI,316,0.051
F,1913,Mamie,13,MI,333,0.047
F,1913,Maude,12,MI,351,0.044
F,1913,May,11,MI,372,0.04
F,1913,Monica,10,MI,391,0.036
F,1913,Mina,9,MI,429,0.033
F,1913,Maria,8,MI,460,0.029
F,1913,Marianne,8,MI,460,0.029
F,1913,Marvel,8,MI,460,0.029
F,1913,Maybelle,8,MI,460,0.029
F,1913,Madeleine,7,MI,487,0.025
F,1913,Mona,7,MI,487,0.025
F,1913,Margery,6,MI,533,0.022
F,1913,Maryann,6,MI,533,0.022
F,1913,Mayme,6,MI,533,0.022
F,1913,Melba,6,MI,533,0.022
F,1913,Mercedes,6,MI,533,0.022
F,1914,Mary,886,MI,2,2.626
F,1914,Margaret,563,MI,7,1.669
F,1914,Mildred,298,MI,17,0.883
F,1914,Marie,268,MI,23,0.794
F,1914,Marion,175,MI,40,0.519
F,1914,Marjorie,151,MI,53,0.448
F,1914,Martha,138,MI,60,0.409
F,1914,Marian,122,MI,70,0.362
F,1914,Marguerite,83,MI,107,0.246
F,1914,Mabel,77,MI,115,0.228
F,1914,Maxine,60,MI,130,0.178
F,1914,Myrtle,48,MI,153,0.142
F,1914,Madeline,43,MI,172,0.127
F,1914,Mae,39,MI,184,0.116
F,1914,Muriel,38,MI,188,0.113
F,1914,Marcella,28,MI,234,0.083
F,1914,Minnie,27,MI,241,0.08
