sex,year,name,frequency,State,rank,percentage
F,1910,Nellie,35,MI,89,0.29
F,1910,Norma,21,MI,136,0.174
F,1910,Nina,17,MI,159,0.141
F,1910,Naomi,13,MI,195,0.108
F,1910,Nancy,12,MI,207,0.099
F,1910,Nora,11,MI,219,0.091
F,1910,Natalie,7,MI,301,0.058
F,1910,Nettie,7,MI,301,0.058
F,1910,Neva,5,MI,368,0.041
F,1910,Nona,5,MI,368,0.041
F,1911,Nellie,37,MI,86,0.286
F,1911,Norma,25,MI,122,0.193
F,1911,Nina,13,MI,201,0.1
F,1911,Nettie,11,MI,239,0.085
F,1911,Nora,10,MI,253,0.077
F,1911,Neva,9,MI,266,0.069
F,1911,Nancy,7,MI,310,0.054
F,1911,Natalie,7,MI,310,0.054
F,1911,Naomi,5,MI,376,0.039
F,1911,Norine,5,MI,376,0.039
F,1912,Nellie,48,MI,120,0.218
F,1912,Norma,28,MI,174,0.127
F,1912,Naomi,19,MI,237,0.086
F,1912,Nina,17,MI,255,0.077
F,1912,Nettie,15,MI,275,0.068
F,1912,Nora,15,MI,275,0.068
F,1912,Neva,9,MI,383,0.041
F,1912,Nancy,6,MI,460,0.027
F,1912,Nadine,5,MI,504,0.023
F,1913,Nellie,63,MI,112,0.229
F,1913,Norma,29,MI,198,0.106
F,1913,Nina,20,MI,251,0.073
F,1913,Neva,16,MI,289,0.058
F,1913,Nancy,15,MI,303,0.055
F,1913,Naomi,15,MI,303,0.055
F,1913,Nettie,13,MI,333,0.047
F,1913,Nora,13,MI,333,0.047
F,1913,Norine,10,MI,391,0.036
F,1914,Nellie,59,MI,132,0.175
F,1914,Norma,53,MI,146,0.157
F,1914,Nancy,19,MI,307,0.056
F,1914,Nettie,18,MI,318,0.053
F,1914,Neva,18,MI,318,0.053
F,1914,Nina,18,MI,318,0.053
F,1914,Nora,18,MI,318,0.053
F,1914,Naomi,17,MI,332,0.05
F,1914,Nona,6,MI,578,0.018
F,1914,Norine,6,MI,578,0.018
F,1914,Nola,5,MI,635,0.015
F,1915,Norma,83,MI,144,0.16
F,1915,Nellie,81,MI,145,0.156
F,1915,Nina,33,MI,266,0.063
F,1915,Naomi,30,MI,289,0.058
F,1915,Nora,27,MI,308,0.052
F,1915,Nettie,19,MI,386,0.037
F,1915,Nancy,18,MI,401,0.035
F,1915,Neva,17,MI,410,0.033
F,1915,Natalie,12,MI,495,0.023
F,1915,Nelda,10,MI,556,0.019
F,1915,Norene,7,MI,668,0.013
F,1915,Neoma,6,MI,724,0.012
F,1915,Nola,6,MI,724,0.012
F,1915,Nona,6,MI,724,0.012
F,1915,Norine,5,MI,794,0.01
F,1916,Nellie,92,MI,143,0.154
F,1916,Norma,78,MI,166,0.13
F,1916,Nina,34,MI,297,0.057
F,1916,Nancy,33,MI,301,0.055
F,1916,Naomi,33,MI,301,0.055
F,1916,Nora,25,MI,356,0.042
F,1916,Nettie,20,MI,400,0.033
F,1916,Neva,20,MI,400,0.033
F,1916,Natalie,17,MI,438,0.028
F,1916,Nadine,7,MI,710,0.012
F,1916,Nona,7,MI,710,0.012
F,1916,Norene,7,MI,710,0.012
F,1916,Norine,7,MI,710,0.012
F,1916,Nelda,6,MI,776,0.01
F,1916,Nell,6,MI,776,0.01
F,1916,Nella,6,MI,776,0.01
F,1917,Norma,95,MI,146,0.15
F,1917,Nellie,90,MI,150,0.142
F,1917,Naomi,46,MI,256,0.072
F,1917,Nina,42,MI,270,0.066
F,1917,Nancy,36,MI,293,0.057
F,1917,Nora,33,MI,309,0.052
F,1917,Neva,24,MI,374,0.038
F,1917,Natalie,16,MI,464,0.025
F,1917,Nettie,14,MI,511,0.022
F,1917,Norine,11,MI,587,0.017
F,1917,Noreen,10,MI,615,0.016
F,1917,Nadine,8,MI,687,0.013
F,1917,Nelda,8,MI,687,0.013
F,1917,Nila,6,MI,795,0.009
F,1917,Neoma,5,MI,892,0.008
F,1917,Nona,5,MI,892,0.008
F,1918,Norma,129,MI,129,0.186
F,1918,Nellie,88,MI,165,0.127
F,1918,Nina,47,MI,256,0.068
F,1918,Naomi,39,MI,295,0.056
F,1918,Nancy,37,MI,308,0.053
F,1918,Neva,23,MI,398,0.033
F,1918,Nora,23,MI,398,0.033
F,1918,Nettie,18,MI,443,0.026
F,1918,Natalie,14,MI,506,0.02
F,1918,Nadine,10,MI,633,0.014
F,1918,Nola,9,MI,666,0.013
F,1918,Norene,7,MI,751,0.01
F,1918,Norine,7,MI,751,0.01
F,1918,Nathalie,6,MI,824,0.009
F,1918,Nelda,6,MI,824,0.009
F,1918,Nona,6,MI,824,0.009
F,1918,Noreen,6,MI,824,0.009
F,1918,Nedra,5,MI,914,0.007
F,1918,Nila,5,MI,914,0.007
F,1919,Norma,150,MI,107,0.238
F,1919,Nellie,73,MI,178,0.116
F,1919,Nina,38,MI,272,0.06
F,1919,Naomi,31,MI,309,0.049
F,1919,Nancy,29,MI,326,0.046
F,1919,Neva,22,MI,378,0.035
F,1919,Nettie,20,MI,403,0.032
F,1919,Nora,19,MI,411,0.03
F,1919,Natalie,12,MI,538,0.019
F,1919,Nadine,8,MI,652,0.013
F,1919,Nan,7,MI,705,0.011
F,1920,Norma,139,MI,123,0.194
F,1920,Nellie,75,MI,194,0.105
F,1920,Nancy,54,MI,241,0.076
