sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1950,Queen,7,MI,588,0.01,1020,0.005
F,1953,Queen,5,MI,750,0.006,1314,0.003
F,1975,Qiana,6,MI,815,0.011,1413,0.005
F,1976,Qiana,7,MI,728,0.013,1271,0.006
F,1977,Qiana,19,MI,381,0.033,681,0.016
F,1977,Quiana,13,MI,503,0.023,881,0.011
F,1977,Quintella,5,MI,943,0.009,1618,0.004
F,1978,Qiana,31,MI,272,0.054,490,0.025
F,1978,Quiana,20,MI,380,0.035,665,0.016
F,1979,Qiana,21,MI,371,0.035,665,0.017
F,1979,Quiana,17,MI,436,0.029,766,0.013
F,1979,Quinn,9,MI,673,0.015,1161,0.007
F,1980,Qiana,12,MI,541,0.02,946,0.009
F,1980,Quiana,8,MI,717,0.013,1228,0.006
F,1980,Quinn,5,MI,972,0.008,1630,0.004
F,1981,Quiana,9,MI,628,0.015,1081,0.007
F,1981,Quinn,9,MI,628,0.015,1081,0.007
F,1981,Qiana,8,MI,699,0.014,1182,0.006
F,1981,Quintina,7,MI,764,0.012,1283,0.006
F,1982,Qiana,8,MI,679,0.014,1162,0.007
F,1982,Quinn,5,MI,931,0.009,1569,0.004
F,1983,Quiana,7,MI,721,0.013,1234,0.006
F,1984,Qiana,9,MI,619,0.016,1076,0.007
F,1984,Quiana,5,MI,916,0.009,1568,0.004
F,1986,Quinn,5,MI,968,0.009,1654,0.004
F,1987,Quinn,6,MI,883,0.01,1485,0.005
F,1988,Quinn,7,MI,805,0.012,1385,0.006
F,1990,Quanisha,7,MI,889,0.011,1562,0.005
F,1990,Quinn,5,MI,1118,0.008,1913,0.004
F,1991,Quinn,8,MI,807,0.013,1432,0.006
F,1992,Quinn,9,MI,733,0.016,1334,0.007
F,1993,Quinn,7,MI,861,0.013,1522,0.006
F,1994,Quinn,7,MI,878,0.013,1556,0.006
F,1995,Quinn,12,MI,591,0.023,1093,0.011
F,1995,Quanisha,8,MI,774,0.015,1411,0.007
F,1996,Quinn,14,MI,533,0.027,991,0.013
F,1996,Quanisha,6,MI,952,0.012,1707,0.005
F,1998,Quinn,10,MI,700,0.019,1298,0.009
F,1998,Quincy,5,MI,1138,0.01,2053,0.004
F,1999,Quinn,15,MI,513,0.029,961,0.014
F,2000,Quinn,14,MI,577,0.027,1056,0.013
F,2001,Quinn,13,MI,583,0.026,1093,0.012
F,2001,Quincy,5,MI,1186,0.01,2160,0.005
F,2002,Quinn,21,MI,420,0.043,786,0.02
F,2003,Quinn,27,MI,339,0.055,650,0.026
F,2004,Quinn,22,MI,401,0.046,768,0.021
F,2005,Quinn,29,MI,313,0.061,612,0.028
F,2006,Quinn,25,MI,369,0.053,713,0.025
F,2006,Queen,5,MI,1279,0.011,2346,0.005
F,2007,Quinn,16,MI,511,0.035,983,0.016
F,2008,Quinn,32,MI,286,0.072,569,0.033
F,2008,Quincy,5,MI,1255,0.011,2333,0.005
F,2009,Quinn,20,MI,418,0.047,822,0.022
F,2010,Quinn,60,MI,148,0.144,317,0.067
F,2011,Quinn,69,MI,128,0.167,284,0.077
F,2011,Quincy,6,MI,1088,0.014,2027,0.007
F,2012,Quinn,85,MI,105,0.206,234,0.096
F,2013,Quinn,107,MI,84,0.257,192,0.119
F,2014,Quinn,110,MI,81,0.261,192,0.121
F,2015,Quinn,123,MI,68,0.292,167,0.137
F,2015,Quincy,5,MI,1274,0.012,2350,0.006
F,2016,Quinn,144,MI,49,0.342,135,0.16
F,2016,Queen,7,MI,1000,0.017,1902,0.008
F,2017,Quinn,150,MI,47,0.364,123,0.171
F,2017,Queen,11,MI,718,0.027,1380,0.013
F,2017,Quincy,6,MI,1143,0.015,2112,0.007
F,2018,Quinn,175,MI,33,0.435,94,0.203
F,2018,Queen,9,MI,835,0.022,1576,0.01
F,2019,Quinn,119,MI,61,0.299,162,0.142
F,2019,Queen,11,MI,699,0.028,1336,0.013
F,2020,Quinn,123,MI,56,0.325,139,0.153
F,2020,Queen,12,MI,665,0.032,1291,0.015
F,2020,Quincy,5,MI,1218,0.013,2304,0.006
F,2021,Quinn,131,MI,49,0.342,122,0.161
F,2021,Queen,6,MI,1070,0.016,2073,0.007
F,2021,Quincy,5,MI,1240,0.013,2369,0.006
F,2022,Quinn,109,MI,60,0.295,153,0.139
F,2022,Quincy,9,MI,808,0.024,1565,0.011
F,2022,Queen,8,MI,880,0.022,1699,0.01
F,2023,Quinn,109,MI,57,0.309,141,0.145
F,2023,Queen,10,MI,741,0.028,1438,0.013
F,2023,Qamar,6,MI,1067,0.017,2064,0.008
F,2023,Quincy,6,MI,1067,0.017,2064,0.008
F,2024,Quinn,106,MI,63,0.298,153,0.141
F,2024,Quincy,8,MI,866,0.022,1668,0.011
F,2024,Qamar,5,MI,1212,0.014,2302,0.007
M,1918,Quentin,14,MI,242,0.043,506,0.02
M,1919,Quentin,13,MI,246,0.045,517,0.021
M,1920,Quentin,9,MI,300,0.027,656,0.013
M,1921,Quentin,7,MI,362,0.02,777,0.009
M,1923,Quentin,7,MI,357,0.019,765,0.009
M,1924,Quentin,5,MI,431,0.013,925,0.006
M,1925,Quentin,5,MI,431,0.013,916,0.006
M,1944,Quentin,5,MI,440,0.009,1008,0.005
M,1945,Quentin,5,MI,433,0.01,976,0.005
M,1951,Quentin,6,MI,483,0.007,1139,0.004
M,1952,Quentin,7,MI,459,0.008,1065,0.004
M,1953,Quentin,7,MI,478,0.008,1112,0.004
M,1955,Quentin,6,MI,552,0.006,1288,0.003
M,1956,Quentin,12,MI,404,0.012,934,0.006
M,1957,Quintin,5,MI,619,0.005,1490,0.003
M,1957,Quinton,5,MI,619,0.005,1490,0.003
M,1958,Quentin,8,MI,480,0.008,1146,0.004
M,1958,Quincy,5,MI,616,0.005,1471,0.003
M,1958,Quintin,5,MI,616,0.005,1471,0.003
M,1959,Quincy,6,MI,555,0.006,1326,0.003
M,1961,Quintin,10,MI,438,0.011,1036,0.006
M,1961,Quentin,9,MI,456,0.01,1092,0.005
M,1961,Quinton,5,MI,613,0.005,1511,0.003
M,1962,Quentin,7,MI,502,0.008,1211,0.004
M,1962,Quintin,7,MI,502,0.008,1211,0.004
M,1963,Quintin,9,MI,439,0.01,1058,0.005
M,1963,Quentin,8,MI,471,0.009,1134,0.005
M,1963,Quinn,5,MI,586,0.006,1435,0.003
M,1964,Quentin,8,MI,464,0.009,1126,0.005
M,1964,Quintin,8,MI,464,0.009,1126,0.005
M,1965,Quentin,7,MI,490,0.009,1190,0.005
M,1965,Quinton,6,MI,525,0.008,1280,0.004
M,1965,Quintin,5,MI,582,0.006,1423,0.003
M,1966,Quintin,6,MI,556,0.008,1341,0.004
M,1966,Quinton,5,MI,608,0.006,1460,0.003
M,1967,Quentin,6,MI,549,0.008,1341,0.004
M,1967,Quinn,6,MI,549,0.008,1341,0.004
M,1968,Quinn,9,MI,468,0.012,1097,0.006
M,1968,Quentin,8,MI,487,0.01,1154,0.005
M,1968,Quincy,5,MI,592,0.007,1461,0.003
M,1969,Quentin,15,MI,372,0.019,863,0.01
M,1969,Quincy,10,MI,445,0.013,1047,0.007
M,1969,Quinn,6,MI,578,0.008,1391,0.004
M,1970,Quentin,26,MI,284,0.032,650,0.017
M,1970,Quincy,11,MI,456,0.014,1055,0.007
M,1970,Quinn,7,MI,570,0.009,1346,0.005
M,1970,Quan,5,MI,658,0.006,1613,0.003
M,1971,Quentin,22,MI,308,0.029,692,0.015
M,1971,Quincy,13,MI,415,0.017,955,0.009
M,1971,Quinn,9,MI,510,0.012,1184,0.006
M,1972,Quincy,21,MI,301,0.03,680,0.016
