sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1910,Ruth,212,MI,5,2.444,5,1.756
F,1910,Rose,82,MI,26,0.945,36,0.679
F,1910,Ruby,28,MI,74,0.323,109,0.232
F,1910,Regina,14,MI,130,0.161,187,0.116
F,1910,Reva,10,MI,164,0.115,235,0.083
F,1910,Rachel,8,MI,189,0.092,273,0.066
F,1910,Rosalie,7,MI,204,0.081,301,0.058
F,1910,Rita,6,MI,220,0.069,336,0.05
F,1910,Rena,5,MI,238,0.058,368,0.041
F,1910,Rhea,5,MI,238,0.058,368,0.041
F,1910,Roberta,5,MI,238,0.058,368,0.041
F,1910,Rosalind,5,MI,238,0.058,368,0.041
F,1911,Ruth,225,MI,5,2.393,6,1.736
F,1911,Rose,85,MI,26,0.904,36,0.656
F,1911,Ruby,34,MI,70,0.362,98,0.262
F,1911,Regina,12,MI,149,0.128,215,0.093
F,1911,Rena,9,MI,181,0.096,267,0.069
F,1911,Reva,6,MI,223,0.064,333,0.046
F,1911,Rita,6,MI,223,0.064,333,0.046
F,1911,Rosa,6,MI,223,0.064,333,0.046
F,1911,Rosalie,6,MI,223,0.064,333,0.046
F,1911,Rosemary,6,MI,223,0.064,333,0.046
F,1911,Rebecca,5,MI,250,0.053,376,0.039
F,1911,Rhea,5,MI,250,0.053,376,0.039
F,1911,Roberta,5,MI,250,0.053,376,0.039
F,1911,Rosella,5,MI,250,0.053,376,0.039
F,1912,Ruth,323,MI,5,2.466,7,1.468
F,1912,Rose,121,MI,24,0.924,38,0.55
F,1912,Ruby,47,MI,75,0.359,122,0.214
F,1912,Regina,15,MI,160,0.115,277,0.068
F,1912,Rita,15,MI,160,0.115,277,0.068
F,1912,Roberta,14,MI,169,0.107,291,0.064
F,1912,Rachel,12,MI,186,0.092,323,0.055
F,1912,Rosalie,11,MI,198,0.084,344,0.05
F,1912,Rosemary,11,MI,198,0.084,344,0.05
F,1912,Rosella,9,MI,223,0.069,386,0.041
F,1912,Rena,8,MI,230,0.061,403,0.036
F,1912,Reva,7,MI,244,0.053,426,0.032
F,1912,Rhea,7,MI,244,0.053,426,0.032
F,1912,Reta,6,MI,262,0.046,457,0.027
F,1912,Rhoda,6,MI,262,0.046,457,0.027
F,1912,Rosa,5,MI,283,0.038,500,0.023
F,1912,Rosie,5,MI,283,0.038,500,0.023
F,1913,Ruth,382,MI,5,2.432,8,1.391
F,1913,Rose,159,MI,21,1.012,36,0.579
F,1913,Ruby,36,MI,96,0.229,162,0.131
F,1913,Roberta,19,MI,150,0.121,262,0.069
F,1913,Rosemary,16,MI,167,0.102,290,0.058
F,1913,Rachel,12,MI,195,0.076,351,0.044
F,1913,Regina,12,MI,195,0.076,351,0.044
F,1913,Reva,12,MI,195,0.076,351,0.044
F,1913,Rosalie,12,MI,195,0.076,351,0.044
F,1913,Rita,11,MI,204,0.07,372,0.04
F,1913,Rhea,9,MI,238,0.057,429,0.033
F,1913,Rosella,8,MI,253,0.051,459,0.029
F,1913,Rosetta,6,MI,299,0.038,532,0.022
F,1913,Rebecca,5,MI,322,0.032,584,0.018
F,1914,Ruth,482,MI,5,2.625,8,1.429
F,1914,Rose,188,MI,19,1.024,37,0.557
F,1914,Ruby,56,MI,80,0.305,140,0.166
F,1914,Regina,20,MI,164,0.109,298,0.059
F,1914,Roberta,19,MI,168,0.103,306,0.056
F,1914,Rena,16,MI,185,0.087,341,0.047
F,1914,Rita,16,MI,185,0.087,341,0.047
F,1914,Rosalie,15,MI,190,0.082,349,0.044
F,1914,Reva,14,MI,200,0.076,368,0.041
F,1914,Rosemary,14,MI,200,0.076,368,0.041
F,1914,Rachel,11,MI,223,0.06,417,0.033
F,1914,Rhea,8,MI,259,0.044,489,0.024
F,1914,Rosella,6,MI,306,0.033,576,0.018
F,1914,Rae,5,MI,332,0.027,632,0.015
F,1914,Ramona,5,MI,332,0.027,632,0.015
F,1914,Rhoda,5,MI,332,0.027,632,0.015
F,1915,Ruth,689,MI,5,2.477,8,1.325
F,1915,Rose,279,MI,20,1.003,40,0.537
F,1915,Ruby,72,MI,88,0.259,159,0.138
F,1915,Rita,71,MI,91,0.255,162,0.137
F,1915,Rosemary,40,MI,135,0.144,241,0.077
F,1915,Regina,31,MI,154,0.111,281,0.06
F,1915,Rena,25,MI,178,0.09,325,0.048
F,1915,Roberta,24,MI,182,0.086,335,0.046
F,1915,Rosalie,24,MI,182,0.086,335,0.046
F,1915,Rhoda,23,MI,185,0.083,344,0.044
F,1915,Rachel,22,MI,188,0.079,351,0.042
F,1915,Rhea,18,MI,208,0.065,402,0.035
F,1915,Reva,15,MI,234,0.054,445,0.029
F,1915,Rebecca,12,MI,261,0.043,492,0.023
F,1915,Rosella,11,MI,274,0.04,516,0.021
F,1915,Rosamond,9,MI,302,0.032,571,0.017
F,1915,Rosa,7,MI,354,0.025,662,0.013
F,1915,Reta,6,MI,386,0.022,718,0.012
F,1915,Robert,6,MI,386,0.022,6,1.913
F,1915,Rosetta,6,MI,386,0.022,718,0.012
F,1915,Rowena,6,MI,386,0.022,718,0.012
F,1915,Rae,5,MI,420,0.018,786,0.01
F,1915,Reba,5,MI,420,0.018,786,0.01
F,1915,Retha,5,MI,420,0.018,786,0.01
F,1915,Roma,5,MI,420,0.018,786,0.01
F,1915,Rosalind,5,MI,420,0.018,786,0.01
F,1915,Rosaline,5,MI,420,0.018,786,0.01
F,1916,Ruth,853,MI,5,2.643,8,1.425
F,1916,Rose,298,MI,22,0.923,42,0.498
F,1916,Rita,76,MI,98,0.236,171,0.127
F,1916,Ruby,71,MI,103,0.22,186,0.119
F,1916,Rosemary,48,MI,128,0.149,230,0.08
F,1916,Roberta,46,MI,136,0.143,241,0.077
F,1916,Regina,28,MI,179,0.087,331,0.047
F,1916,Rachel,26,MI,189,0.081,349,0.043
F,1916,Rosalie,25,MI,192,0.077,357,0.042
F,1916,Reva,20,MI,215,0.062,402,0.033
F,1916,Rena,18,MI,225,0.056,418,0.03
F,1916,Rhea,18,MI,225,0.056,418,0.03
F,1916,Reta,13,MI,272,0.04,504,0.022
F,1916,Rosie,12,MI,281,0.037,524,0.02
F,1916,Rosella,10,MI,317,0.031,580,0.017
F,1916,Rebecca,9,MI,326,0.028,608,0.015
F,1916,Rhoda,9,MI,326,0.028,608,0.015
F,1916,Rosetta,9,MI,326,0.028,608,0.015
F,1916,Rosa,7,MI,378,0.022,703,0.012
F,1916,Roma,6,MI,420,0.019,765,0.01
F,1916,Rosalind,6,MI,420,0.019,765,0.01
F,1916,Rachael,5,MI,470,0.015,855,0.008
F,1916,Robert,5,MI,470,0.015,4,2.032
F,1916,Rosaline,5,MI,470,0.015,855,0.008
F,1916,Rosanna,5,MI,470,0.015,855,0.008
F,1916,Roselyn,5,MI,470,0.015,855,0.008
F,1917,Ruth,868,MI,5,2.54,8,1.366
F,1917,Rose,313,MI,22,0.916,42,0.493
F,1917,Rita,85,MI,90,0.249,158,0.134
F,1917,Ruby,74,MI,109,0.217,185,0.116
F,1917,Rosemary,57,MI,125,0.167,220,0.09
F,1917,Regina,54,MI,127,0.158,224,0.085
F,1917,Roberta,36,MI,162,0.105,293,0.057
F,1917,Rachel,29,MI,182,0.085,338,0.046
F,1917,Rhea,23,MI,204,0.067,385,0.036
F,1917,Rosalie,21,MI,215,0.061,408,0.033
F,1917,Reva,19,MI,223,0.056,429,0.03
F,1917,Rena,17,MI,237,0.05,451,0.027
F,1917,Rosemarie,14,MI,272,0.041,510,0.022
F,1917,Rebecca,12,MI,299,0.035,556,0.019
F,1917,Rhoda,12,MI,299,0.035,556,0.019
F,1917,Rosella,12,MI,299,0.035,556,0.019
F,1917,Reta,10,MI,330,0.029,614,0.016
F,1917,Rachael,9,MI,348,0.026,648,0.014
F,1917,Ramona,7,MI,400,0.02,730,0.011
F,1917,Retha,7,MI,400,0.02,730,0.011
F,1917,Rosa,7,MI,400,0.02,730,0.011
F,1917,Rosalind,7,MI,400,0.02,730,0.011
F,1917,Rosaline,7,MI,400,0.02,730,0.011
F,1917,Reba,6,MI,431,0.018,789,0.009
F,1917,Rosamond,6,MI,431,0.018,789,0.009
F,1917,Rae,5,MI,480,0.015,883,0.008
F,1917,Robert,5,MI,480,0.015,4,2.245
F,1917,Rosalia,5,MI,480,0.015,883,0.008
F,1918,Ruth,958,MI,5,2.614,9,1.38
F,1918,Rose,324,MI,24,0.884,48,0.467
F,1918,Rita,125,MI,77,0.341,134,0.18
F,1918,Ruby,79,MI,104,0.216,186,0.114
F,1918,Rosemary,61,MI,128,0.166,227,0.088
F,1918,Roberta,49,MI,139,0.134,254,0.071
F,1918,Regina,44,MI,147,0.12,268,0.063
F,1918,Rosalie,38,MI,164,0.104,305,0.055
F,1918,Rachel,33,MI,173,0.09,320,0.048
F,1918,Reva,29,MI,188,0.079,350,0.042
F,1918,Rosella,24,MI,204,0.065,386,0.035
F,1918,Rena,18,MI,234,0.049,446,0.026
F,1918,Rhea,17,MI,242,0.046,459,0.024
F,1918,Rhoda,17,MI,242,0.046,459,0.024
F,1918,Rebecca,16,MI,248,0.044,473,0.023
F,1918,Retha,9,MI,356,0.025,662,0.013
F,1918,Rosa,9,MI,356,0.025,662,0.013
F,1918,Rosemarie,9,MI,356,0.025,662,0.013
F,1918,Rosie,9,MI,356,0.025,662,0.013
F,1918,Rosalind,8,MI,379,0.022,699,0.012
F,1918,Rosetta,8,MI,379,0.022,699,0.012
