sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1910,Stella,39,MI,58,0.45,79,0.323
F,1910,Sylvia,26,MI,80,0.3,116,0.215
F,1910,Sophie,19,MI,105,0.219,151,0.157
F,1910,Sarah,16,MI,121,0.184,171,0.133
F,1910,Sadie,15,MI,127,0.173,180,0.124
F,1910,Sophia,15,MI,127,0.173,180,0.124
F,1910,Sally,13,MI,134,0.15,195,0.108
F,1910,Shirley,11,MI,153,0.127,219,0.091
F,1910,Selma,8,MI,189,0.092,273,0.066
F,1910,Susan,8,MI,189,0.092,273,0.066
F,1910,Saima,5,MI,238,0.058,368,0.041
F,1911,Sylvia,39,MI,59,0.415,81,0.301
F,1911,Stella,38,MI,61,0.404,83,0.293
F,1911,Sarah,23,MI,92,0.245,135,0.177
F,1911,Sophie,21,MI,104,0.223,149,0.162
F,1911,Sadie,13,MI,140,0.138,202,0.1
F,1911,Selma,13,MI,140,0.138,202,0.1
F,1911,Shirley,13,MI,140,0.138,202,0.1
F,1911,Sally,12,MI,149,0.128,215,0.093
F,1911,Sophia,12,MI,149,0.128,215,0.093
F,1911,Susan,12,MI,149,0.128,215,0.093
F,1911,Stephanie,10,MI,174,0.106,254,0.077
F,1911,Sara,6,MI,223,0.064,333,0.046
F,1911,Signe,6,MI,223,0.064,333,0.046
F,1911,Saima,5,MI,250,0.053,376,0.039
F,1911,Sigrid,5,MI,250,0.053,376,0.039
F,1912,Stella,66,MI,53,0.504,86,0.3
F,1912,Sylvia,42,MI,80,0.321,133,0.191
F,1912,Sarah,31,MI,95,0.237,155,0.141
F,1912,Sophie,31,MI,95,0.237,155,0.141
F,1912,Sally,17,MI,150,0.13,255,0.077
F,1912,Sophia,16,MI,156,0.122,269,0.073
F,1912,Sadie,15,MI,160,0.115,277,0.068
F,1912,Shirley,14,MI,169,0.107,291,0.064
F,1912,Selma,12,MI,186,0.092,323,0.055
F,1912,Stephanie,10,MI,209,0.076,360,0.045
F,1912,Susan,7,MI,244,0.053,426,0.032
F,1912,Sara,5,MI,283,0.038,500,0.023
F,1913,Stella,80,MI,54,0.509,93,0.291
F,1913,Sylvia,66,MI,61,0.42,104,0.24
F,1913,Sophie,44,MI,83,0.28,142,0.16
F,1913,Sarah,38,MI,90,0.242,155,0.138
F,1913,Shirley,28,MI,122,0.178,174,0.124
F,1913,Sophia,25,MI,128,0.159,217,0.091
F,1913,Sadie,24,MI,133,0.153,225,0.087
F,1913,Sally,21,MI,139,0.134,242,0.076
F,1913,Susan,11,MI,204,0.07,372,0.04
F,1913,Sara,8,MI,253,0.051,459,0.029
F,1913,Selma,8,MI,253,0.051,459,0.029
F,1913,Stephanie,8,MI,253,0.051,459,0.029
F,1913,Susie,7,MI,273,0.045,486,0.025
F,1913,Sue,5,MI,322,0.032,584,0.018
F,1913,Suzanne,5,MI,322,0.032,584,0.018
F,1914,Stella,124,MI,40,0.675,67,0.368
F,1914,Sophie,71,MI,68,0.387,117,0.21
F,1914,Sylvia,66,MI,73,0.359,127,0.196
F,1914,Shirley,36,MI,110,0.196,193,0.107
F,1914,Sarah,34,MI,117,0.185,203,0.101
F,1914,Sally,31,MI,126,0.169,218,0.092
F,1914,Sophia,31,MI,126,0.169,218,0.092
F,1914,Stephanie,16,MI,185,0.087,341,0.047
F,1914,Sadie,14,MI,200,0.076,368,0.041
F,1914,Sara,13,MI,208,0.071,387,0.039
