sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1910,Thelma,82,MI,26,0.945,35,0.679
F,1910,Theresa,37,MI,59,0.427,84,0.307
F,1910,Tillie,5,MI,238,0.058,368,0.041
F,1910,Tyne,5,MI,238,0.058,368,0.041
F,1911,Thelma,72,MI,38,0.766,49,0.556
F,1911,Theresa,35,MI,65,0.372,93,0.27
F,1911,Tillie,8,MI,199,0.085,293,0.062
F,1912,Thelma,111,MI,34,0.848,51,0.504
F,1912,Theresa,49,MI,69,0.374,115,0.223
F,1912,Tillie,7,MI,244,0.053,427,0.032
F,1912,Teresa,5,MI,283,0.038,504,0.023
F,1913,Thelma,131,MI,31,0.834,51,0.477
F,1913,Theresa,45,MI,81,0.287,140,0.164
F,1913,Tillie,12,MI,195,0.076,351,0.044
F,1913,Teresa,10,MI,214,0.064,391,0.036
F,1914,Thelma,138,MI,34,0.752,60,0.409
F,1914,Theresa,50,MI,87,0.272,151,0.148
F,1914,Tillie,15,MI,190,0.082,349,0.044
F,1914,Teresa,11,MI,223,0.06,417,0.033
F,1915,Thelma,162,MI,47,0.582,82,0.312
F,1915,Theresa,89,MI,78,0.32,138,0.171
F,1915,Tillie,22,MI,188,0.079,350,0.042
F,1915,Teresa,7,MI,354,0.025,668,0.013
F,1915,Theodora,5,MI,420,0.018,794,0.01
F,1915,Tressa,5,MI,420,0.018,794,0.01
F,1916,Thelma,212,MI,39,0.657,70,0.354
F,1916,Theresa,95,MI,80,0.294,140,0.159
F,1916,Tillie,20,MI,215,0.062,400,0.033
F,1916,Teresa,14,MI,264,0.043,488,0.023
F,1916,Theda,11,MI,293,0.034,547,0.018
F,1916,Theodora,9,MI,326,0.028,611,0.015
F,1916,Theo,8,MI,351,0.025,656,0.013
F,1916,Therese,7,MI,378,0.022,710,0.012
F,1916,Theressa,6,MI,420,0.019,776,0.01
F,1916,Thora,6,MI,420,0.019,776,0.01
F,1916,Toini,6,MI,420,0.019,776,0.01
F,1916,Taimi,5,MI,470,0.015,866,0.008
F,1916,Tessie,5,MI,470,0.015,866,0.008
F,1916,Trena,5,MI,470,0.015,866,0.008
F,1917,Thelma,184,MI,52,0.538,91,0.29
F,1917,Theresa,84,MI,92,0.246,161,0.132
F,1917,Tillie,21,MI,215,0.061,405,0.033
F,1917,Theda,18,MI,228,0.053,434,0.028
F,1917,Teresa,9,MI,348,0.026,650,0.014
F,1917,Theo,9,MI,348,0.026,650,0.014
F,1917,Tena,8,MI,374,0.023,687,0.013
F,1917,Tressa,7,MI,400,0.02,736,0.011
F,1917,Tyne,7,MI,400,0.02,736,0.011
F,1918,Thelma,228,MI,42,0.622,76,0.328
F,1918,Theresa,104,MI,84,0.284,147,0.15
F,1918,Tillie,20,MI,222,0.055,421,0.029
F,1918,Theda,19,MI,226,0.052,429,0.027
F,1918,Teresa,14,MI,265,0.038,506,0.02
F,1918,Theodosia,5,MI,493,0.014,914,0.007
F,1918,Thora,5,MI,493,0.014,914,0.007
F,1918,Tressa,5,MI,493,0.014,914,0.007
F,1919,Thelma,219,MI,37,0.647,69,0.348
F,1919,Theresa,92,MI,91,0.272,154,0.146
F,1919,Teresa,15,MI,259,0.044,482,0.024
F,1919,Tillie,12,MI,282,0.035,538,0.019
F,1919,Theda,11,MI,295,0.032,562,0.017
F,1919,Treva,7,MI,378,0.021,705,0.011
F,1919,Theo,6,MI,422,0.018,778,0.01
F,1919,Therese,6,MI,422,0.018,778,0.01
F,1919,Taimi,5,MI,461,0.015,850,0.008
F,1919,Theodora,5,MI,461,0.015,850,0.008
F,1920,Thelma,191,MI,51,0.506,94,0.267
F,1920,Theresa,96,MI,91,0.254,158,0.134
F,1920,Teresa,17,MI,252,0.045,471,0.024
F,1920,Tillie,15,MI,273,0.04,500,0.021
F,1920,Taimi,7,MI,404,0.019,758,0.01
F,1920,Theda,7,MI,404,0.019,758,0.01
F,1920,Theo,7,MI,404,0.019,758,0.01
F,1920,Tena,6,MI,441,0.016,825,0.008
F,1921,Thelma,215,MI,48,0.547,88,0.287
F,1921,Theresa,109,MI,90,0.277,153,0.146
F,1921,Tillie,16,MI,258,0.041,490,0.021
F,1921,Teresa,14,MI,280,0.036,532,0.019
F,1921,Theda,13,MI,289,0.033,547,0.017
F,1921,Treva,9,MI,345,0.023,660,0.012
F,1921,Theodora,5,MI,498,0.013,927,0.007
F,1922,Thelma,209,MI,44,0.565,83,0.292
F,1922,Theresa,91,MI,98,0.246,169,0.127
F,1922,Tillie,11,MI,305,0.03,576,0.015
F,1922,Therese,9,MI,340,0.024,646,0.013
F,1922,Teresa,8,MI,368,0.022,692,0.011
F,1922,Theda,5,MI,468,0.014,881,0.007
F,1922,Theodora,5,MI,468,0.014,881,0.007
F,1922,Twila,5,MI,468,0.014,881,0.007
F,1923,Thelma,183,MI,53,0.476,96,0.246
F,1923,Theresa,80,MI,105,0.208,192,0.107
F,1923,Teresa,14,MI,280,0.036,527,0.019
F,1923,Theodora,7,MI,409,0.018,765,0.009
F,1923,Theda,5,MI,488,0.013,926,0.007
F,1923,Tillie,5,MI,488,0.013,926,0.007
F,1924,Thelma,186,MI,55,0.455,99,0.233
F,1924,Theresa,88,MI,105,0.215,189,0.11
F,1924,Theodora,12,MI,308,0.029,577,0.015
F,1924,Tillie,10,MI,348,0.024,649,0.013
F,1924,Therese,8,MI,395,0.02,733,0.01
F,1924,Teresa,7,MI,419,0.017,783,0.009
F,1924,Theda,6,MI,450,0.015,844,0.008
F,1924,Theo,6,MI,450,0.015,844,0.008
F,1924,Tena,5,MI,495,0.012,925,0.006
F,1924,Treva,5,MI,495,0.012,925,0.006
F,1925,Thelma,186,MI,56,0.454,100,0.232
F,1925,Theresa,137,MI,77,0.335,136,0.171
F,1925,Therese,26,MI,205,0.064,394,0.032
F,1925,Teresa,16,MI,273,0.039,508,0.02
F,1925,Theda,9,MI,370,0.022,685,0.011
F,1925,Theodora,9,MI,370,0.022,685,0.011
F,1925,Toni,6,MI,454,0.015,843,0.007
F,1925,Tillie,5,MI,486,0.012,916,0.006
F,1925,Twyla,5,MI,486,0.012,916,0.006
F,1926,Thelma,189,MI,51,0.462,95,0.231
F,1926,Theresa,169,MI,59,0.413,109,0.206
F,1926,Therese,44,MI,152,0.107,282,0.054
F,1926,Teresa,21,MI,234,0.051,440,0.026
F,1926,Tillie,8,MI,395,0.02,732,0.01
F,1926,Theda,7,MI,421,0.017,792,0.009
F,1926,Theodora,6,MI,459,0.015,862,0.007
F,1926,Theodosia,5,MI,492,0.012,938,0.006
F,1926,Twila,5,MI,492,0.012,938,0.006
F,1927,Theresa,230,MI,46,0.549,84,0.274
F,1927,Thelma,206,MI,51,0.492,94,0.246
F,1927,Therese,60,MI,126,0.143,235,0.072
F,1927,Teresa,23,MI,220,0.055,414,0.027
F,1927,Theda,8,MI,395,0.019,731,0.01
F,1927,Tillie,8,MI,395,0.019,731,0.01
F,1927,Theo,5,MI,508,0.012,948,0.006
F,1927,Thora,5,MI,508,0.012,948,0.006
F,1927,Thresa,5,MI,508,0.012,948,0.006
F,1928,Theresa,249,MI,40,0.605,75,0.3
F,1928,Thelma,154,MI,65,0.374,118,0.186
F,1928,Therese,44,MI,148,0.107,279,0.053
F,1928,Teresa,26,MI,206,0.063,383,0.031
F,1928,Theda,8,MI,393,0.019,731,0.01
F,1928,Tena,7,MI,417,0.017,791,0.008
F,1928,Theodora,6,MI,458,0.015,862,0.007
F,1928,Theo,5,MI,503,0.012,946,0.006
F,1928,Thora,5,MI,503,0.012,946,0.006
F,1928,Toni,5,MI,503,0.012,946,0.006
F,1929,Theresa,232,MI,45,0.552,81,0.276
