sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1914,Ursula,6,MI,306,0.033,578,0.018
F,1915,Ursula,9,MI,302,0.032,575,0.017
F,1915,Una,6,MI,386,0.022,724,0.012
F,1916,Ursula,8,MI,351,0.025,656,0.013
F,1916,Una,6,MI,420,0.019,776,0.01
F,1917,Ursula,9,MI,348,0.026,650,0.014
F,1919,Ursula,6,MI,422,0.018,778,0.01
F,1919,Una,5,MI,461,0.015,850,0.008
F,1920,Ursula,8,MI,373,0.021,694,0.011
F,1920,Una,5,MI,483,0.013,910,0.007
F,1921,Una,5,MI,498,0.013,927,0.007
F,1922,Una,9,MI,340,0.024,646,0.013
F,1923,Ursula,9,MI,356,0.023,668,0.012
F,1924,Ursula,6,MI,450,0.015,844,0.008
F,1928,Ursula,5,MI,503,0.012,946,0.006
F,1929,Ursula,5,MI,498,0.012,930,0.006
F,1930,Una,5,MI,495,0.012,930,0.006
F,1931,Una,6,MI,426,0.016,796,0.008
F,1932,Una,5,MI,460,0.014,858,0.007
F,1934,Ursula,6,MI,423,0.016,773,0.008
F,1936,Ursula,6,MI,433,0.015,794,0.008
F,1938,Ursula,6,MI,454,0.014,835,0.007
F,1939,Ursula,5,MI,487,0.012,896,0.006
F,1940,Ursula,5,MI,498,0.011,929,0.006
F,1941,Ursula,5,MI,527,0.01,948,0.005
F,1950,Unknown,8,MI,553,0.011,958,0.005
F,1951,Unknown,6,MI,657,0.008,1139,0.004
F,1952,Unknown,9,MI,539,0.011,951,0.005
F,1953,Unknown,7,MI,635,0.008,1112,0.004
F,1954,Unknown,9,MI,570,0.01,1002,0.005
F,1955,Ursula,6,MI,737,0.007,1288,0.003
F,1956,Ursula,11,MI,550,0.012,964,0.006
F,1957,Ursula,5,MI,872,0.005,1490,0.003
F,1959,Unknown,6,MI,772,0.007,1326,0.003
F,1959,Ursula,5,MI,849,0.006,1456,0.003
F,1960,Ursula,5,MI,862,0.006,1457,0.003
F,1961,Ursula,8,MI,687,0.009,1169,0.004
F,1962,Ursula,7,MI,710,0.009,1211,0.004
F,1963,Ursula,8,MI,664,0.01,1134,0.005
F,1964,Ursula,10,MI,584,0.013,995,0.006
F,1965,Ursula,23,MI,366,0.031,645,0.015
F,1966,Ursula,38,MI,283,0.052,495,0.025
F,1967,Ursula,13,MI,506,0.018,877,0.009
F,1968,Ursula,25,MI,353,0.036,620,0.017
F,1969,Ursula,26,MI,361,0.036,631,0.017
F,1970,Ursula,11,MI,600,0.015,1055,0.007
F,1971,Ursula,29,MI,327,0.042,590,0.02
F,1972,Ursula,19,MI,409,0.031,727,0.015
F,1973,Ursula,7,MI,765,0.012,1310,0.006
F,1974,Ursula,15,MI,456,0.026,815,0.012
F,1975,Ursula,14,MI,474,0.025,847,0.012
F,1977,Ursula,11,MI,569,0.019,981,0.009
F,1978,Ursula,8,MI,697,0.014,1197,0.007
F,1979,Ursula,6,MI,871,0.01,1502,0.005
F,1980,Ursula,6,MI,870,0.01,1457,0.005
F,1981,Ursula,6,MI,844,0.01,1422,0.005
F,1983,Ursula,7,MI,721,0.013,1234,0.006
F,1985,Unique,7,MI,766,0.012,1311,0.006
F,1987,Unique,6,MI,883,0.01,1485,0.005
