sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1996,Xena,10,MI,669,0.019,1236,0.009
F,2004,Ximena,8,MI,870,0.017,1609,0.008
F,2004,Xiomara,8,MI,870,0.017,1609,0.008
F,2005,Ximena,7,MI,954,0.015,1787,0.007
F,2006,Ximena,8,MI,889,0.017,1635,0.008
F,2006,Xiomara,5,MI,1279,0.011,2346,0.005
F,2007,Ximena,7,MI,991,0.015,1838,0.007
F,2008,Ximena,10,MI,773,0.022,1440,0.01
F,2008,Xiomara,6,MI,1108,0.013,2054,0.006
F,2009,Ximena,6,MI,1110,0.014,2029,0.007
F,2009,Xiomara,5,MI,1272,0.012,2312,0.005
F,2010,Ximena,8,MI,872,0.019,1656,0.009
F,2011,Ximena,7,MI,973,0.017,1823,0.008
F,2012,Ximena,12,MI,642,0.029,1220,0.014
F,2013,Ximena,10,MI,751,0.024,1409,0.011
F,2014,Ximena,25,MI,362,0.059,727,0.027
F,2015,Ximena,22,MI,399,0.052,789,0.024
F,2016,Ximena,20,MI,449,0.048,876,0.022
F,2017,Ximena,25,MI,369,0.061,729,0.029
F,2017,Xena,6,MI,1143,0.015,2112,0.007
F,2018,Ximena,21,MI,428,0.052,852,0.024
F,2019,Ximena,22,MI,419,0.055,812,0.026
F,2019,Xena,5,MI,1236,0.013,2299,0.006
F,2020,Ximena,14,MI,584,0.037,1140,0.017
F,2020,Xena,9,MI,806,0.024,1551,0.011
F,2020,Xiomara,6,MI,1067,0.016,2048,0.007
F,2021,Ximena,13,MI,618,0.034,1196,0.016
F,2021,Xena,6,MI,1070,0.016,2073,0.007
F,2021,Xiomara,5,MI,1240,0.013,2369,0.006
F,2021,Xyla,5,MI,1240,0.013,2369,0.006
F,2022,Ximena,13,MI,628,0.035,1216,0.017
F,2022,Xiomara,10,MI,756,0.027,1459,0.013
F,2022,Xena,9,MI,808,0.024,1565,0.011
F,2022,Xyla,7,MI,967,0.019,1873,0.009
F,2022,Xaria,5,MI,1215,0.014,2332,0.006
F,2023,Ximena,14,MI,559,0.04,1106,0.019
F,2023,Xiomara,12,MI,650,0.034,1244,0.016
F,2023,Xyla,7,MI,969,0.02,1867,0.009
F,2023,Xena,5,MI,1216,0.014,2330,0.007
F,2024,Ximena,11,MI,681,0.031,1347,0.015
F,2024,Xiomara,11,MI,681,0.031,1347,0.015
F,2024,Xyla,8,MI,866,0.022,1668,0.011
M,1954,Xavier,6,MI,532,0.006,1253,0.003
M,1957,Xavier,6,MI,561,0.006,1346,0.003
M,1960,Xavier,5,MI,596,0.005,1457,0.003
M,1961,Xavier,8,MI,483,0.009,1169,0.004
M,1962,Xavier,8,MI,466,0.009,1118,0.005
