sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1913,Yvonne,6,MI,299,0.038,533,0.022
F,1914,Yvonne,9,MI,243,0.049,457,0.027
F,1915,Yvonne,16,MI,227,0.058,430,0.031
F,1916,Yvonne,23,MI,202,0.071,371,0.038
F,1917,Yvonne,18,MI,228,0.053,434,0.028
F,1917,Yolanda,6,MI,431,0.018,795,0.009
F,1917,Yetta,5,MI,480,0.015,892,0.008
F,1918,Yvonne,19,MI,226,0.052,429,0.027
F,1918,Yetta,5,MI,493,0.014,914,0.007
F,1919,Yvonne,28,MI,179,0.083,334,0.044
F,1919,Yolanda,8,MI,346,0.024,652,0.013
F,1920,Yvonne,40,MI,155,0.106,283,0.056
F,1920,Yolanda,7,MI,404,0.019,758,0.01
F,1921,Yvonne,35,MI,171,0.089,317,0.047
F,1921,Yolanda,8,MI,381,0.02,716,0.011
F,1922,Yvonne,25,MI,203,0.068,378,0.035
F,1922,Yolanda,9,MI,340,0.024,646,0.013
F,1923,Yvonne,41,MI,151,0.107,281,0.055
F,1923,Yolanda,14,MI,280,0.036,527,0.019
F,1924,Yvonne,47,MI,148,0.115,270,0.059
F,1924,Yolanda,9,MI,364,0.022,686,0.011
F,1925,Yvonne,65,MI,120,0.159,219,0.081
F,1925,Yolanda,12,MI,322,0.029,587,0.015
F,1926,Yvonne,78,MI,110,0.191,201,0.095
F,1926,Yolanda,9,MI,370,0.022,681,0.011
F,1927,Yvonne,73,MI,110,0.174,206,0.087
F,1927,Yolanda,5,MI,508,0.012,948,0.006
F,1928,Yvonne,81,MI,102,0.197,192,0.098
F,1928,Yolanda,9,MI,365,0.022,675,0.011
F,1929,Yvonne,74,MI,106,0.176,199,0.088
F,1929,Yolanda,12,MI,320,0.029,593,0.014
F,1930,Yvonne,99,MI,92,0.235,170,0.117
F,1930,Yolanda,11,MI,333,0.026,617,0.013
F,1931,Yvonne,73,MI,100,0.19,195,0.094
F,1931,Yolanda,12,MI,304,0.031,564,0.015
F,1932,Yvonne,82,MI,97,0.223,179,0.11
F,1933,Yvonne,88,MI,91,0.253,169,0.125
F,1933,Yolanda,8,MI,351,0.023,653,0.011
F,1934,Yvonne,96,MI,87,0.262,161,0.13
F,1935,Yvonne,150,MI,59,0.395,116,0.194
F,1935,Yolanda,6,MI,413,0.016,771,0.008
F,1936,Yvonne,179,MI,50,0.462,93,0.228
F,1936,Yolanda,7,MI,395,0.018,735,0.009
F,1937,Yvonne,178,MI,53,0.446,98,0.218
F,1937,Yolanda,7,MI,403,0.018,740,0.009
F,1938,Yvonne,155,MI,64,0.367,118,0.179
F,1938,Yolanda,8,MI,388,0.019,712,0.009
F,1939,Yvonne,145,MI,67,0.349,124,0.17
F,1939,Yolanda,6,MI,447,0.014,825,0.007
F,1940,Yvonne,119,MI,79,0.272,146,0.133
F,1940,Yolanda,5,MI,498,0.011,929,0.006
F,1941,Yvonne,139,MI,75,0.29,141,0.142
F,1941,Yvette,8,MI,404,0.017,751,0.008
F,1942,Yvonne,127,MI,87,0.228,163,0.112
F,1942,Yvette,8,MI,455,0.014,819,0.007
F,1943,Yvonne,113,MI,92,0.2,176,0.098
F,1943,Yolanda,6,MI,526,0.011,941,0.005
F,1943,Yvette,5,MI,575,0.009,1026,0.004
F,1944,Yvonne,128,MI,84,0.253,155,0.123
F,1944,Yolanda,7,MI,462,0.014,836,0.007
F,1945,Yvonne,88,MI,103,0.176,203,0.086
F,1945,Yolanda,10,MI,372,0.02,683,0.01
F,1945,Yvette,7,MI,458,0.014,833,0.007
F,1946,Yvonne,143,MI,90,0.23,170,0.112
F,1946,Yolanda,16,MI,333,0.026,604,0.013
F,1946,Yvette,12,MI,387,0.019,695,0.009
F,1947,Yvonne,151,MI,97,0.208,185,0.101
F,1947,Yolanda,28,MI,253,0.039,480,0.019
F,1947,Yvette,11,MI,447,0.015,785,0.007
F,1948,Yvonne,206,MI,80,0.296,142,0.144
F,1948,Yolanda,12,MI,420,0.017,738,0.008
F,1948,Yvette,9,MI,487,0.013,861,0.006
F,1949,Yvonne,160,MI,95,0.226,177,0.109
F,1949,Yolanda,16,MI,358,0.023,644,0.011
F,1949,Yvette,5,MI,679,0.007,1200,0.003
F,1950,Yvonne,178,MI,92,0.243,167,0.118
F,1950,Yolanda,21,MI,322,0.029,570,0.014
F,1950,Yvette,16,MI,381,0.022,664,0.011
F,1951,Yvonne,207,MI,87,0.264,156,0.127
F,1951,Yolanda,36,MI,235,0.046,446,0.022
F,1951,Yvette,14,MI,431,0.018,744,0.009
F,1952,Yvonne,216,MI,85,0.267,155,0.129
F,1952,Yolanda,47,MI,208,0.058,396,0.028
F,1952,Yvette,15,MI,426,0.019,744,0.009
F,1953,Yvonne,202,MI,94,0.243,167,0.117
F,1953,Yolanda,31,MI,285,0.037,511,0.018
F,1953,Yvette,20,MI,368,0.024,644,0.012
F,1954,Yvonne,205,MI,101,0.234,177,0.113
F,1954,Yolanda,40,MI,260,0.046,468,0.022
F,1954,Yvette,14,MI,469,0.016,819,0.008
F,1955,Yvonne,216,MI,99,0.241,174,0.117
F,1955,Yolanda,48,MI,232,0.054,434,0.026
F,1955,Yvette,19,MI,408,0.021,712,0.01
F,1955,Yolonda,5,MI,815,0.006,1415,0.003
F,1956,Yvonne,224,MI,98,0.238,173,0.115
F,1956,Yolanda,55,MI,226,0.059,423,0.028
F,1956,Yvette,43,MI,263,0.046,478,0.022
F,1957,Yvonne,224,MI,104,0.236,185,0.114
F,1957,Yolanda,56,MI,232,0.059,428,0.028
F,1957,Yvette,45,MI,271,0.047,488,0.023
F,1958,Yvonne,180,MI,114,0.196,212,0.094
F,1958,Yolanda,50,MI,247,0.054,455,0.026
F,1958,Yvette,32,MI,328,0.035,580,0.017
F,1958,Yolonda,5,MI,856,0.005,1471,0.003
F,1959,Yvonne,172,MI,112,0.191,209,0.092
F,1959,Yolanda,55,MI,237,0.061,441,0.029
F,1959,Yvette,48,MI,258,0.053,473,0.026
F,1959,Yolonda,5,MI,849,0.006,1456,0.003
F,1960,Yvonne,178,MI,116,0.202,211,0.097
F,1960,Yolanda,54,MI,241,0.061,444,0.03
F,1960,Yvette,47,MI,269,0.053,481,0.026
F,1961,Yvonne,182,MI,109,0.21,200,0.101
F,1961,Yolanda,65,MI,219,0.075,398,0.036
F,1961,Yvette,61,MI,229,0.07,416,0.034
F,1961,Yolonda,6,MI,807,0.007,1365,0.003
F,1962,Yvonne,159,MI,118,0.194,214,0.093
F,1962,Yvette,70,MI,206,0.085,366,0.041
F,1962,Yolanda,55,MI,241,0.067,429,0.032
F,1962,Yolonda,6,MI,780,0.007,1326,0.004
F,1963,Yvonne,139,MI,126,0.174,231,0.084
F,1963,Yvette,85,MI,186,0.106,325,0.051
F,1963,Yolanda,59,MI,231,0.074,406,0.036
F,1963,Yolonda,9,MI,620,0.011,1058,0.005
F,1964,Yvonne,147,MI,122,0.188,218,0.091
F,1964,Yvette,102,MI,155,0.131,280,0.063
F,1964,Yolanda,86,MI,177,0.11,318,0.053
F,1965,Yvonne,138,MI,120,0.187,218,0.09
F,1965,Yolanda,91,MI,162,0.123,293,0.059
F,1965,Yvette,87,MI,166,0.118,299,0.057
F,1966,Yvonne,123,MI,129,0.167,236,0.081
F,1966,Yolanda,97,MI,152,0.132,285,0.064
F,1966,Yvette,86,MI,169,0.117,312,0.056
F,1966,Yolonda,5,MI,853,0.007,1460,0.003
F,1966,Yulanda,5,MI,853,0.007,1460,0.003
F,1967,Yvonne,122,MI,124,0.171,225,0.082
F,1967,Yvette,103,MI,142,0.145,257,0.069
F,1967,Yolanda,100,MI,149,0.14,266,0.067
F,1967,Yolonda,6,MI,793,0.008,1341,0.004
F,1967,Yalonda,5,MI,882,0.007,1475,0.003
F,1968,Yolanda,172,MI,96,0.248,170,0.118
F,1968,Yvonne,113,MI,133,0.163,240,0.078
F,1968,Yvette,68,MI,189,0.098,347,0.047
F,1968,Yolonda,15,MI,481,0.022,843,0.01
F,1968,Yalanda,5,MI,870,0.007,1461,0.003
F,1968,Yulanda,5,MI,870,0.007,1461,0.003
F,1969,Yolanda,191,MI,92,0.266,163,0.127
F,1969,Yvonne,108,MI,137,0.151,253,0.072
F,1969,Yvette,77,MI,177,0.107,327,0.051
F,1969,Yolonda,10,MI,603,0.014,1047,0.007
F,1970,Yolanda,153,MI,108,0.207,199,0.098
F,1970,Yvonne,94,MI,157,0.127,294,0.06
F,1970,Yvette,68,MI,202,0.092,373,0.044
F,1970,Yalonda,12,MI,563,0.016,996,0.008
F,1970,Yolonda,12,MI,563,0.016,996,0.008
F,1970,Yulonda,6,MI,847,0.008,1458,0.004
F,1970,Youlanda,5,MI,956,0.007,1613,0.003
F,1971,Yolanda,165,MI,99,0.239,180,0.113
F,1971,Yvonne,92,MI,155,0.133,287,0.063
F,1971,Yvette,61,MI,215,0.088,394,0.042
F,1971,Yolonda,10,MI,639,0.014,1128,0.007
F,1972,Yolanda,153,MI,91,0.247,171,0.117
F,1972,Yvonne,92,MI,142,0.149,261,0.07
F,1972,Yvette,44,MI,248,0.071,446,0.034
F,1972,Yolonda,7,MI,756,0.011,1305,0.005
F,1972,Yalonda,5,MI,924,0.008,1585,0.004
F,1973,Yolanda,120,MI,107,0.204,199,0.096
F,1973,Yvonne,67,MI,171,0.114,314,0.054
F,1973,Yvette,36,MI,276,0.061,493,0.029
F,1973,Yolonda,8,MI,690,0.014,1184,0.006
F,1974,Yolanda,110,MI,112,0.193,208,0.091
F,1974,Yvonne,46,MI,220,0.081,399,0.038
