sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
F,1910,Zelma,7,MI,204,0.081,301,0.058
F,1910,Zella,6,MI,220,0.069,336,0.05
F,1911,Zella,5,MI,250,0.053,376,0.039
F,1913,Zelda,9,MI,238,0.057,429,0.033
F,1913,Zella,7,MI,273,0.045,486,0.025
F,1914,Zelma,9,MI,243,0.049,458,0.027
F,1915,Zelda,12,MI,261,0.043,492,0.023
F,1915,Zelma,8,MI,328,0.029,611,0.015
F,1915,Zella,7,MI,354,0.025,662,0.013
F,1915,Zora,6,MI,386,0.022,718,0.012
F,1916,Zelda,11,MI,293,0.034,545,0.018
F,1916,Zella,8,MI,351,0.025,652,0.013
F,1916,Zelma,7,MI,378,0.022,703,0.012
F,1917,Zelma,13,MI,289,0.038,536,0.02
F,1917,Zella,6,MI,431,0.018,789,0.009
F,1917,Zelda,5,MI,480,0.015,883,0.008
F,1918,Zelma,15,MI,256,0.041,492,0.022
F,1918,Zella,7,MI,405,0.019,740,0.01
F,1918,Zelda,6,MI,447,0.016,811,0.009
F,1918,Zora,5,MI,493,0.014,898,0.007
F,1919,Zelma,11,MI,295,0.032,563,0.017
F,1919,Zella,8,MI,346,0.024,651,0.013
F,1919,Zora,5,MI,461,0.015,836,0.008
F,1920,Zelma,11,MI,322,0.029,591,0.015
F,1920,Zella,9,MI,357,0.024,654,0.013
F,1920,Zora,6,MI,441,0.016,813,0.008
F,1920,Zelda,5,MI,483,0.013,889,0.007
F,1920,Zoe,5,MI,483,0.013,889,0.007
F,1921,Zella,7,MI,416,0.018,766,0.009
F,1921,Zelma,6,MI,449,0.015,828,0.008
F,1921,Zoe,5,MI,498,0.013,908,0.007
F,1921,Zona,5,MI,498,0.013,908,0.007
F,1922,Zelma,10,MI,323,0.027,601,0.014
F,1922,Zelda,8,MI,368,0.022,681,0.011
F,1922,Zella,7,MI,399,0.019,735,0.01
F,1923,Zelma,7,MI,409,0.018,752,0.009
F,1924,Zella,7,MI,419,0.017,771,0.009
F,1924,Zelma,7,MI,419,0.017,771,0.009
F,1924,Zelda,6,MI,450,0.015,827,0.008
F,1924,Zora,6,MI,450,0.015,827,0.008
F,1925,Zelma,8,MI,399,0.02,719,0.01
F,1925,Zoe,5,MI,486,0.012,897,0.006
F,1926,Zelma,5,MI,492,0.012,911,0.006
F,1927,Zelma,6,MI,455,0.014,838,0.007
F,1927,Zoe,6,MI,455,0.014,838,0.007
F,1927,Zola,5,MI,508,0.012,918,0.006
F,1928,Zelma,9,MI,365,0.022,667,0.011
F,1928,Zelda,5,MI,503,0.012,919,0.006
F,1928,Zella,5,MI,503,0.012,919,0.006
F,1929,Zora,7,MI,425,0.017,762,0.008
F,1930,Zelda,6,MI,448,0.014,823,0.007
F,1931,Zelma,7,MI,397,0.018,725,0.009
F,1931,Zoe,6,MI,426,0.016,777,0.008
F,1932,Zelma,9,MI,346,0.025,632,0.012
F,1932,Zelda,5,MI,460,0.014,837,0.007
F,1933,Zelda,6,MI,405,0.017,733,0.009
F,1933,Zella,5,MI,446,0.014,801,0.007
F,1934,Zelda,5,MI,454,0.014,815,0.007
F,1934,Zelma,5,MI,454,0.014,815,0.007
