name,sex,frequency,year,percentage,rank,overall_rank,overall_percentage
William,M,9532,1880,8.627,2,2,4.7458
Walter,M,1755,1880,1.5884,13,17,0.875
Will,M,588,1880,0.5322,27,70,0.2918
Willie,M,476,1880,0.4308,34,56,0.3315
Viola,F,229,1880,0.2517,94,150,0.1137
Virginia,F,213,1880,0.2341,99,154,0.1057
Willie,F,192,1880,0.211,105,56,0.3315
Willis,M,166,1880,0.1502,86,170,0.0824
Warren,M,158,1880,0.143,89,174,0.0784
Wesley,M,123,1880,0.1113,109,199,0.061
Winfield,M,108,1880,0.0977,122,211,0.0536
Victor,M,100,1880,0.0905,136,218,0.0496
Victoria,F,93,1880,0.1022,148,224,0.0462
Winifred,F,92,1880,0.1011,150,225,0.0457
Wallace,M,91,1880,0.0824,150,226,0.0452
Willard,M,88,1880,0.0796,158,229,0.0437
Wilbur,M,82,1880,0.0742,162,235,0.0407
Virgil,M,81,1880,0.0733,164,236,0.0402
Wiley,M,78,1880,0.0706,170,239,0.0387
Wilson,M,72,1880,0.0652,179,245,0.0357
Vernon,M,56,1880,0.0507,214,261,0.0278
Wade,M,56,1880,0.0507,215,261,0.0278
Winnie,F,49,1880,0.0538,222,268,0.0243
Vera,F,48,1880,0.0528,225,269,0.0238
Verna,F,46,1880,0.0506,231,271,0.0228
Violet,F,42,1880,0.0462,239,275,0.0208
Virgie,F,41,1880,0.0451,246,276,0.0203
Vincent,M,41,1880,0.0371,266,276,0.0203
Wilhelmina,F,36,1880,0.0396,260,281,0.0179
Vina,F,35,1880,0.0385,264,282,0.0174
Van,M,33,1880,0.0299,290,284,0.0164
Zella,F,31,1880,0.0341,281,286,0.0154
William,F,30,1880,0.033,287,2,4.7458
Ward,M,30,1880,0.0272,313,287,0.0149
Ulysses,M,29,1880,0.0262,317,288,0.0144
Walker,M,29,1880,0.0262,318,288,0.0144
Wilbert,M,29,1880,0.0262,319,288,0.0144
Zora,F,28,1880,0.0308,304,289,0.0139
Zula,F,27,1880,0.0297,308,290,0.0134
Washington,M,24,1880,0.0217,355,293,0.0119
Zoe,F,23,1880,0.0253,341,294,0.0114
Wayne,M,23,1880,0.0208,361,294,0.0114
Wilber,M,23,1880,0.0208,362,294,0.0114
Vivian,F,22,1880,0.0242,351,288,0.0144
Wash,M,21,1880,0.019,379,296,0.0104
Wilfred,M,21,1880,0.019,380,296,0.0104
Vesta,F,20,1880,0.022,373,297,0.0099
Vinnie,F,20,1880,0.022,374,297,0.0099
Zelma,F,19,1880,0.0209,387,298,0.0094
Vern,M,19,1880,0.0172,400,298,0.0094
Wilmer,M,19,1880,0.0172,401,298,0.0094
Zack,M,19,1880,0.0172,402,298,0.0094
Wilford,M,18,1880,0.0163,424,299,0.0089
Velma,F,16,1880,0.0176,434,301,0.0079
Wilburn,M,16,1880,0.0145,464,301,0.0079
Wyatt,M,15,1880,0.0136,481,302,0.0074
Veronica,F,14,1880,0.0154,465,303,0.0069
Wm,M,14,1880,0.0127,503,303,0.0069
Young,M,14,1880,0.0127,504,303,0.0069
Vida,F,13,1880,0.0143,490,304,0.0065
Zada,F,13,1880,0.0143,491,304,0.0065
Webster,M,13,1880,0.0118,522,304,0.0065
West,M,13,1880,0.0118,523,304,0.0065
Wheeler,M,13,1880,0.0118,524,304,0.0065
Willam,M,13,1880,0.0118,525,304,0.0065
Willa,F,12,1880,0.0132,517,305,0.006
Watson,M,12,1880,0.0109,566,305,0.006
Webb,M,12,1880,0.0109,567,305,0.006
Wellington,M,12,1880,0.0109,568,305,0.006
Winfred,M,12,1880,0.0109,569,305,0.006
Wylie,M,12,1880,0.0109,570,305,0.006
Vena,F,11,1880,0.0121,544,306,0.0055
Wanda,F,11,1880,0.0121,545,306,0.0055
Wilda,F,11,1880,0.0121,546,306,0.0055
Verne,M,11,1880,0.01,597,306,0.0055
Volney,M,11,1880,0.01,598,306,0.0055
Williams,M,11,1880,0.01,599,306,0.0055
Una,F,10,1880,0.011,578,307,0.005
Vernie,F,10,1880,0.011,579,301,0.0079
Urban,M,10,1880,0.0091,633,307,0.005
Uriah,M,10,1880,0.0091,634,307,0.005
Valentine,M,10,1880,0.0091,635,307,0.005
Waldo,M,10,1880,0.0091,636,307,0.005
Warner,M,10,1880,0.0091,637,307,0.005
Wong,M,10,1880,0.0091,638,307,0.005
Zeb,M,10,1880,0.0091,639,307,0.005
Vada,F,9,1880,0.0099,626,308,0.0045
Winnifred,F,9,1880,0.0099,627,308,0.0045
Verdie,F,8,1880,0.0088,674,309,0.004
Walter,F,8,1880,0.0088,675,17,0.875
Zetta,F,8,1880,0.0088,676,309,0.004
Zoa,F,8,1880,0.0088,677,309,0.004
Zona,F,8,1880,0.0088,678,309,0.004
Woodson,M,8,1880,0.0072,743,309,0.004
Worth,M,8,1880,0.0072,744,309,0.004
Viva,F,7,1880,0.0077,734,310,0.0035
Yetta,F,7,1880,0.0077,735,310,0.0035
Zena,F,7,1880,0.0077,736,310,0.0035
Zola,F,7,1880,0.0077,737,310,0.0035
Vance,M,7,1880,0.0063,803,310,0.0035
Vivian,M,7,1880,0.0063,804,288,0.0144
Walton,M,7,1880,0.0063,805,310,0.0035
Watt,M,7,1880,0.0063,806,310,0.0035
Weaver,M,7,1880,0.0063,807,310,0.0035
Wilton,M,7,1880,0.0063,808,310,0.0035
Vallie,F,6,1880,0.0066,829,311,0.003
Venie,F,6,1880,0.0066,830,311,0.003
Viney,F,6,1880,0.0066,831,311,0.003
Wilhelmine,F,6,1880,0.0066,832,311,0.003
Winona,F,6,1880,0.0066,833,311,0.003
Zelda,F,6,1880,0.0066,834,311,0.003
Zilpha,F,6,1880,0.0066,835,311,0.003
Vernie,M,6,1880,0.0054,903,301,0.0079
Wendell,M,6,1880,0.0054,904,311,0.003
Wilhelm,M,6,1880,0.0054,905,311,0.003
Willian,M,6,1880,0.0054,906,311,0.003
Yee,M,6,1880,0.0054,907,311,0.003
Zeke,M,6,1880,0.0054,908,311,0.003
Ula,F,5,1880,0.0055,938,312,0.0025
Vannie,F,5,1880,0.0055,939,312,0.0025
Verona,F,5,1880,0.0055,940,312,0.0025
Vertie,F,5,1880,0.0055,941,312,0.0025
Wilma,F,5,1880,0.0055,942,312,0.0025
Unknown,M,5,1880,0.0045,1049,312,0.0025
Vann,M,5,1880,0.0045,1050,312,0.0025
Wes,M,5,1880,0.0045,1051,312,0.0025
Winston,M,5,1880,0.0045,1052,312,0.0025
Wood,M,5,1880,0.0045,1053,312,0.0025
Woodie,M,5,1880,0.0045,1054,312,0.0025
Worthy,M,5,1880,0.0045,1055,312,0.0025
Wright,M,5,1880,0.0045,1056,312,0.0025
York,M,5,1880,0.0045,1057,312,0.0025
Zachariah,M,5,1880,0.0045,1058,312,0.0025
William,M,8524,1881,8.4618,2,2,4.4393
Walter,M,1670,1881,1.6578,13,17,0.8724
Will,M,550,1881,0.546,26,76,0.2891
Willie,M,498,1881,0.4944,30,52,0.3773
Viola,F,237,1881,0.2577,92,146,0.123
Willie,F,229,1881,0.249,94,52,0.3773
Virginia,F,210,1881,0.2284,101,156,0.109
Warren,M,156,1881,0.1549,84,175,0.081
Willis,M,142,1881,0.141,93,183,0.0737
Victoria,F,117,1881,0.1272,134,200,0.0607
Victor,M,110,1881,0.1092,113,207,0.0571
Wesley,M,102,1881,0.1013,119,214,0.0529
Willard,M,94,1881,0.0933,130,220,0.0488
Wallace,M,88,1881,0.0874,141,226,0.0457
Winnie,F,84,1881,0.0914,162,230,0.0436
Winifred,F,81,1881,0.0881,167,233,0.042
Wilbur,M,81,1881,0.0804,153,233,0.042
Wiley,M,76,1881,0.0754,162,238,0.0394
Wilson,M,73,1881,0.0725,167,241,0.0379
Virgil,M,65,1881,0.0645,182,247,0.0337
Winfield,M,65,1881,0.0645,183,247,0.0337
Vernon,M,57,1881,0.0566,202,250,0.0322
Wade,M,52,1881,0.0516,214,259,0.027
Wilhelmina,F,49,1881,0.0533,221,262,0.0254
Vera,F,48,1881,0.0522,226,263,0.0249
Virgie,F,43,1881,0.0468,243,268,0.0223
Violet,F,42,1881,0.0457,246,269,0.0218
Zella,F,38,1881,0.0413,267,273,0.0197
Ward,M,37,1881,0.0367,261,274,0.0192
Van,M,32,1881,0.0318,285,279,0.0166
Verna,F,30,1881,0.0326,288,281,0.0156
William,F,30,1881,0.0326,289,2,4.4393
Vincent,M,30,1881,0.0298,294,281,0.0156
Wayne,M,30,1881,0.0298,295,281,0.0156
Wilbert,M,29,1881,0.0288,306,282,0.0151
Zula,F,27,1881,0.0294,311,284,0.014
Vina,F,26,1881,0.0283,316,285,0.0135
Walker,M,25,1881,0.0248,330,286,0.013
Zack,M,25,1881,0.0248,331,286,0.013
Vinnie,F,24,1881,0.0261,336,287,0.0125
Vivian,F,24,1881,0.0261,337,278,0.0171
Waldo,M,23,1881,0.0228,347,288,0.0119
Zoe,F,22,1881,0.0239,359,289,0.0114
Wilfred,M,22,1881,0.0218,359,289,0.0114
Zora,F,21,1881,0.0228,373,290,0.0109
Vesta,F,20,1881,0.0218,383,291,0.0104
Washington,M,20,1881,0.0199,388,291,0.0104
Velma,F,19,1881,0.0207,392,292,0.0099
Ulysses,M,18,1881,0.0179,413,293,0.0093
Vern,M,18,1881,0.0179,414,293,0.0093
Wilford,M,18,1881,0.0179,415,293,0.0093
Zelma,F,17,1881,0.0185,417,294,0.0088
Wash,M,16,1881,0.0159,441,295,0.0083
Veronica,F,15,1881,0.0163,446,296,0.0078
Verne,M,15,1881,0.0149,457,296,0.0078
West,M,15,1881,0.0149,458,296,0.0078
Wm,M,15,1881,0.0149,459,296,0.0078
Una,F,14,1881,0.0152,468,297,0.0073
Vida,F,14,1881,0.0152,469,297,0.0073
Wilber,M,14,1881,0.0139,484,297,0.0073
Wilburn,M,14,1881,0.0139,485,297,0.0073
Wyatt,M,14,1881,0.0139,486,297,0.0073
Vernie,F,13,1881,0.0141,490,292,0.0099
Valentine,M,13,1881,0.0129,501,298,0.0067
Wellington,M,13,1881,0.0129,502,298,0.0067
Winfred,M,12,1881,0.0119,532,299,0.0062
Walter,F,11,1881,0.012,536,17,0.8724
Winona,F,11,1881,0.012,537,300,0.0057
Zadie,F,11,1881,0.012,538,300,0.0057
Wilmer,M,11,1881,0.0109,562,300,0.0057
Vada,F,10,1881,0.0109,577,301,0.0052
Vallie,F,10,1881,0.0109,578,301,0.0052
Willa,F,10,1881,0.0109,579,301,0.0052
Wilma,F,10,1881,0.0109,580,301,0.0052
Zola,F,10,1881,0.0109,581,301,0.0052
Walton,M,10,1881,0.0099,589,301,0.0052
Warner,M,10,1881,0.0099,590,301,0.0052
Watson,M,10,1881,0.0099,591,301,0.0052
Willam,M,10,1881,0.0099,592,301,0.0052
Wylie,M,10,1881,0.0099,593,301,0.0052
Zeb,M,10,1881,0.0099,594,301,0.0052
Zilpah,F,9,1881,0.0098,621,302,0.0047
Zona,F,9,1881,0.0098,622,302,0.0047
Vivian,M,9,1881,0.0089,650,278,0.0171
Willian,M,9,1881,0.0089,651,302,0.0047
Young,M,9,1881,0.0089,652,302,0.0047
Valeria,F,8,1881,0.0087,673,303,0.0042
Vessie,F,8,1881,0.0087,674,303,0.0042
Victorine,F,8,1881,0.0087,675,303,0.0042
Wilhelmine,F,8,1881,0.0087,676,303,0.0042
Winnifred,F,8,1881,0.0087,677,303,0.0042
Zada,F,8,1881,0.0087,678,303,0.0042
Unknown,M,8,1881,0.0079,700,303,0.0042
Watt,M,8,1881,0.0079,701,303,0.0042
Wendell,M,8,1881,0.0079,702,303,0.0042
Wirt,M,8,1881,0.0079,703,303,0.0042
Wong,M,8,1881,0.0079,704,303,0.0042
Woodie,M,8,1881,0.0079,705,303,0.0042
Will,F,7,1881,0.0076,737,76,0.2891
Zetta,F,7,1881,0.0076,738,304,0.0036
Zillah,F,7,1881,0.0076,739,304,0.0036
Vance,M,7,1881,0.0069,777,304,0.0036
Williams,M,7,1881,0.0069,778,304,0.0036
Worth,M,7,1881,0.0069,779,304,0.0036
York,M,7,1881,0.0069,780,304,0.0036
Ursula,F,6,1881,0.0065,821,305,0.0031
Veda,F,6,1881,0.0065,822,305,0.0031
Vena,F,6,1881,0.0065,823,305,0.0031
Verdie,F,6,1881,0.0065,824,305,0.0031
Wanda,F,6,1881,0.0065,825,305,0.0031
Zaida,F,6,1881,0.0065,826,305,0.0031
Zena,F,6,1881,0.0065,827,305,0.0031
Zenobia,F,6,1881,0.0065,828,305,0.0031
Zilpha,F,6,1881,0.0065,829,305,0.0031
Uriah,M,6,1881,0.006,860,305,0.0031
Vernie,M,6,1881,0.006,861,292,0.0099
Weaver,M,6,1881,0.006,862,305,0.0031
Webb,M,6,1881,0.006,863,305,0.0031
Whit,M,6,1881,0.006,864,305,0.0031
Yee,M,6,1881,0.006,865,305,0.0031
Vernon,F,5,1881,0.0054,936,250,0.0322
