name,State,frequency,state_percentage
Aaban,NY,12,5e-05
Aadam,NY,6,2e-05
Aadan,CA,18,5e-05
Aadan,TX,5,2e-05
Aadarsh,CA,6,2e-05
Aadarsh,IL,5,3e-05
Aaden,AL,91,0.00149
Aaden,AR,39,0.00108
Aaden,AZ,90,0.00223
Aaden,CA,647,0.00195
Aaden,CO,65,0.00164
Aaden,CT,39,0.00107
Aaden,DE,5,0.00074
Aaden,FL,284,0.00252
Aaden,GA,177,0.00191
Aaden,HI,6,0.00059
Aaden,IA,45,0.00102
Aaden,IL,210,0.00128
Aaden,IN,54,0.00069
Aaden,KS,39,0.00111
Aaden,KY,72,0.00125
Aaden,LA,73,0.00121
Aaden,MA,40,0.00049
Aaden,MD,54,0.00108
Aaden,ME,5,0.00034
Aaden,MI,125,0.00099
Aaden,MN,58,0.00095
Aaden,MO,85,0.00115
Aaden,MS,59,0.0014
Aaden,MT,5,0.00049
Aaden,NC,132,0.00139
Aaden,ND,5,0.00044
Aaden,NE,17,0.0007
Aaden,NJ,65,0.00071
Aaden,NM,17,0.00095
Aaden,NV,34,0.00311
Aaden,NY,253,0.00099
Aaden,OH,176,0.00114
Aaden,OK,42,0.00093
Aaden,OR,14,0.00047
Aaden,PA,131,0.00073
Aaden,RI,6,0.00049
Aaden,SC,67,0.00139
Aaden,SD,6,0.00053
Aaden,TN,83,0.00118
Aaden,TX,521,0.00207
Aaden,UT,14,0.00052
Aaden,VA,84,0.00112
Aaden,WA,59,0.0011
Aaden,WI,65,0.00098
Aaden,WV,19,0.00061
Aadhav,CA,27,8e-05
Aadhav,NJ,11,0.00012
Aadhav,TX,5,2e-05
Aadhini,CA,6,2e-05
Aadhira,CA,34,0.0001
Aadhira,TX,28,0.00011
Aadhiran,TX,6,2e-05
Aadhvik,CA,5,2e-05
Aadhvik,TX,5,2e-05
Aadhya,AR,10,0.00028
Aadhya,AZ,59,0.00146
Aadhya,CA,509,0.00154
Aadhya,CO,10,0.00025
Aadhya,CT,36,0.00099
Aadhya,FL,105,0.00093
Aadhya,GA,139,0.0015
Aadhya,IA,6,0.00014
Aadhya,IL,184,0.00112
Aadhya,MA,83,0.00102
Aadhya,MD,44,0.00088
Aadhya,MI,100,0.0008
Aadhya,MN,24,0.00039
Aadhya,NC,123,0.00129
Aadhya,NJ,300,0.00327
Aadhya,NY,58,0.00023
Aadhya,OH,102,0.00066
Aadhya,PA,118,0.00066
Aadhya,TN,26,0.00037
Aadhya,TX,379,0.0015
Aadhya,VA,130,0.00173
Aadhya,WA,105,0.00197
Aadhya,WI,16,0.00024
Aadi,CA,173,0.00052
Aadi,GA,6,6e-05
Aadi,IL,48,0.00029
Aadi,MA,5,6e-05
Aadi,NJ,117,0.00128
Aadi,NY,61,0.00024
Aadi,PA,6,3e-05
Aadi,TX,66,0.00026
Aadi,WA,5,9e-05
Aadil,NY,5,2e-05
Aadil,TX,5,2e-05
Aadin,TX,5,2e-05
Aadit,CA,62,0.00019
Aadit,NJ,6,7e-05
Aaditya,CA,74,0.00022
Aaditya,IL,5,3e-05
Aaditya,NJ,36,0.00039
Aaditya,PA,5,3e-05
Aaditya,TX,5,2e-05
Aadvik,CA,85,0.00026
Aadvik,FL,5,4e-05
Aadvik,IL,25,0.00015
Aadvik,NJ,32,0.00035
Aadvik,OH,5,3e-05
Aadvik,TX,44,0.00017
Aadya,AZ,5,0.00012
Aadya,CA,319,0.00096
Aadya,CT,11,0.0003
Aadya,DE,5,0.00074
Aadya,FL,34,0.0003
Aadya,GA,49,0.00053
Aadya,IL,90,0.00055
Aadya,MA,40,0.00049
Aadya,MD,12,0.00024
Aadya,MI,41,0.00033
Aadya,NC,55,0.00058
Aadya,NJ,153,0.00167
Aadya,NY,32,0.00012
Aadya,OH,19,0.00012
Aadya,OR,6,0.0002
Aadya,PA,51,0.00029
Aadya,TX,210,0.00083
Aadya,VA,50,0.00066
Aadya,WA,119,0.00223
Aadyn,CA,21,6e-05
Aadyn,FL,12,0.00011
Aadyn,GA,7,8e-05
Aadyn,IN,6,8e-05
Aadyn,NY,5,2e-05
Aadyn,OH,6,4e-05
Aadyn,TX,19,8e-05
Aahan,CA,48,0.00014
Aahan,IL,5,3e-05
Aahan,NJ,16,0.00017
Aahan,OH,11,7e-05
Aahan,PA,6,3e-05
Aahan,TX,26,0.0001
Aahana,CA,149,0.00045
Aahana,FL,5,4e-05
Aahana,GA,5,5e-05
Aahana,IL,12,7e-05
Aahana,NC,11,0.00012
Aahana,NJ,40,0.00044
Aahana,NY,16,6e-05
Aahana,OH,23,0.00015
Aahana,PA,12,7e-05
Aahana,TX,63,0.00025
Aahana,VA,6,8e-05
Aahil,CA,67,0.0002
Aahil,GA,5,5e-05
Aahil,IL,11,7e-05
Aahil,NJ,22,0.00024
Aahil,NY,146,0.00057
Aahil,PA,11,6e-05
Aahil,TX,124,0.00049
Aahil,VA,5,7e-05
Aahna,CA,7,2e-05
Aaiden,CA,92,0.00028
Aaiden,FL,18,0.00016
Aaiden,GA,23,0.00025
Aaiden,IL,17,0.0001
Aaiden,NC,5,5e-05
Aaiden,NY,31,0.00012
Aaiden,OH,6,4e-05
Aaiden,PA,10,6e-05
Aaiden,TX,129,0.00051
Aaima,NY,11,4e-05
Aaima,TX,5,2e-05
Aaira,CA,45,0.00014
Aaira,FL,5,4e-05
Aaira,IL,16,0.0001
Aaira,MA,5,6e-05
Aaira,NJ,29,0.00032
Aaira,NY,50,0.00019
Aaira,OH,6,4e-05
Aaira,TX,45,0.00018
Aairah,CA,5,2e-05
Aairah,MD,5,0.0001
Aairah,NY,23,9e-05
Aairah,TX,15,6e-05
Aakash,CA,151,0.00046
Aakash,GA,5,5e-05
Aakash,IL,16,0.0001
Aakash,MI,5,4e-05
Aakash,NJ,64,0.0007
Aakash,NY,16,6e-05
Aakash,TX,37,0.00015
Aalam,CA,5,2e-05
Aalani,CA,18,5e-05
Aalani,FL,6,5e-05
Aalani,GA,11,0.00012
Aalani,TX,11,4e-05
Aalaya,CA,5,2e-05
Aalayah,CA,102,0.00031
Aalayah,FL,36,0.00032
Aalayah,GA,20,0.00022
Aalayah,IL,15,9e-05
Aalayah,LA,6,0.0001
Aalayah,MI,12,0.0001
Aalayah,NC,14,0.00015
Aalayah,NY,10,4e-05
Aalayah,OH,11,7e-05
Aalayah,PA,27,0.00015
Aalayah,TX,82,0.00033
Aalayah,VA,5,7e-05
Aaleah,CA,15,5e-05
Aaleyah,CA,183,0.00055
Aaleyah,FL,66,0.00059
Aaleyah,GA,42,0.00045
Aaleyah,IL,18,0.00011
Aaleyah,MI,12,0.0001
Aaleyah,NC,11,0.00012
Aaleyah,NV,6,0.00055
Aaleyah,NY,30,0.00012
Aaleyah,OH,6,4e-05
Aaleyah,PA,15,8e-05
Aaleyah,TX,168,0.00067
Aaleyah,VA,6,8e-05
Aaleyah,WA,5,9e-05
Aalia,CA,61,0.00018
Aalia,FL,10,9e-05
Aalia,GA,5,5e-05
Aalia,NJ,11,0.00012
Aalia,NY,17,7e-05
Aalia,TX,28,0.00011
Aaliah,CA,177,0.00053
Aaliah,FL,6,5e-05
Aaliah,TX,114,0.00045
Aalijah,CA,6,2e-05
Aalijah,TX,15,6e-05
Aaliya,AZ,6,0.00015
Aaliya,CA,166,0.0005
Aaliya,FL,31,0.00028
Aaliya,GA,21,0.00023
Aaliya,IL,31,0.00019
Aaliya,MN,5,8e-05
Aaliya,NY,90,0.00035
Aaliya,OH,11,7e-05
Aaliya,TX,130,0.00052
Aaliya,VA,10,0.00013
Aaliya,WA,5,9e-05
Aaliyah,AK,214,0.04638
Aaliyah,AL,1829,0.02997
Aaliyah,AR,959,0.02664
Aaliyah,AZ,2668,0.06618
Aaliyah,CA,14381,0.04344
Aaliyah,CO,1551,0.03916
Aaliyah,CT,1000,0.02745
Aaliyah,DC,397,0.02659
Aaliyah,DE,327,0.0482
Aaliyah,FL,7635,0.06779
Aaliyah,GA,4386,0.0473
Aaliyah,HI,355,0.0347
Aaliyah,IA,673,0.01528
Aaliyah,ID,370,0.02833
Aaliyah,IL,4569,0.02788
Aaliyah,IN,2030,0.02581
Aaliyah,KS,885,0.02525
Aaliyah,KY,1160,0.02008
Aaliyah,LA,2089,0.03474
Aaliyah,MA,1647,0.02018
Aaliyah,MD,1957,0.03912
Aaliyah,ME,194,0.01323
Aaliyah,MI,2841,0.0226
Aaliyah,MN,1170,0.01913
Aaliyah,MO,1541,0.02082
Aaliyah,MS,1599,0.03786
Aaliyah,MT,134,0.01323
Aaliyah,NC,3745,0.03943
Aaliyah,ND,188,0.01659
Aaliyah,NE,476,0.0195
Aaliyah,NH,142,0.0136
Aaliyah,NJ,2364,0.02579
Aaliyah,NM,1210,0.06773
Aaliyah,NV,1103,0.10101
Aaliyah,NY,6146,0.02394
Aaliyah,OH,3530,0.02295
Aaliyah,OK,1151,0.02548
Aaliyah,OR,919,0.03056
Aaliyah,PA,3397,0.01905
Aaliyah,RI,359,0.0295
Aaliyah,SC,1891,0.03924
Aaliyah,SD,199,0.01771
Aaliyah,TN,2292,0.03249
Aaliyah,TX,11770,0.04668
Aaliyah,UT,710,0.02617
Aaliyah,VA,2695,0.03582
Aaliyah,VT,64,0.01115
