name,sex,frequency,year,percentage,rank,overall_rank,overall_percentage
John,M,9655,1880,8.7383,1,1,4.8148
William,M,9532,1880,8.627,2,2,4.7458
Mary,F,7065,1880,7.7642,1,3,3.5199
James,M,5927,1880,5.3643,3,4,2.9526
Charles,M,5348,1880,4.8403,4,5,2.6598
George,M,5126,1880,4.6393,5,6,2.557
Anna,F,2604,1880,2.8617,2,9,1.2984
Emma,F,2003,1880,2.2012,3,15,0.9991
Elizabeth,F,1939,1880,2.1309,4,16,0.9668
Minnie,F,1746,1880,1.9188,5,18,0.871
John,F,46,1880,0.0506,229,1,4.8148
William,F,30,1880,0.033,287,2,4.7458
Mary,M,27,1880,0.0244,332,3,3.5199
James,F,22,1880,0.0242,344,4,2.9526
Charles,F,11,1880,0.0121,520,5,2.6598
John,M,8768,1881,8.704,1,1,4.5639
William,M,8524,1881,8.4618,2,2,4.4393
Mary,F,6919,1881,7.5245,1,3,3.6058
James,M,5441,1881,5.4013,3,4,2.8362
George,M,4664,1881,4.63,4,5,2.4361
Charles,M,4636,1881,4.6022,5,6,2.4148
Anna,F,2698,1881,2.9341,2,8,1.4085
Emma,F,2034,1881,2.212,3,14,1.0603
Elizabeth,F,1852,1881,2.0141,4,16,0.9611
Margaret,F,1658,1881,1.8031,5,18,0.8651
George,F,30,1881,0.0326,286,5,2.4361
William,F,30,1881,0.0326,289,2,4.4393
Mary,M,29,1881,0.0288,301,3,3.6058
John,F,26,1881,0.0283,313,1,4.5639
James,F,24,1881,0.0261,330,4,2.8362
John,M,9557,1882,8.4065,1,1,4.3321
William,M,9298,1882,8.1787,2,2,4.2111
Mary,F,8148,1882,7.5551,1,3,3.6915
James,M,5892,1882,5.1827,3,4,2.6678
George,M,5193,1882,4.5678,4,5,2.3586
Charles,M,5091,1882,4.4781,5,6,2.3085
Anna,F,3143,1882,2.9143,2,8,1.4188
Emma,F,2303,1882,2.1354,3,14,1.0427
Elizabeth,F,2186,1882,2.0269,4,16,0.9899
Minnie,F,2004,1882,1.8582,5,17,0.9091
John,F,40,1882,0.0371,278,1,4.3321
George,F,32,1882,0.0297,314,5,2.3586
William,F,31,1882,0.0287,322,2,4.2111
Mary,M,30,1882,0.0264,314,3,3.6915
James,F,18,1882,0.0167,438,4,2.6678
John,M,8894,1883,8.5008,1,1,4.1181
William,M,8387,1883,8.0162,2,2,3.8844
Mary,F,8012,1883,7.1331,1,3,3.7078
James,M,5223,1883,4.9921,3,4,2.419
Charles,M,4826,1883,4.6127,4,5,2.2328
George,M,4736,1883,4.5266,5,6,2.1932
Anna,F,3306,1883,2.9433,2,7,1.5313
Emma,F,2367,1883,2.1074,3,11,1.0943
Elizabeth,F,2255,1883,2.0076,4,14,1.0454
Minnie,F,2035,1883,1.8118,5,17,0.9445
John,F,40,1883,0.0356,279,1,4.1181
William,F,40,1883,0.0356,281,2,3.8844
Mary,M,32,1883,0.0306,292,3,3.7078
James,F,25,1883,0.0223,367,4,2.419
Charles,F,18,1883,0.016,452,5,2.2328
John,M,9388,1884,8.2033,1,1,3.8725
Mary,F,9217,1884,7.1439,1,2,3.8006
William,M,8897,1884,7.7742,2,3,3.6683
James,M,5693,1884,4.9746,3,4,2.3519
George,M,4961,1884,4.3349,4,5,2.0541
Charles,M,4802,1884,4.196,5,6,1.9802
Anna,F,3860,1884,2.9918,2,7,1.5937
Emma,F,2587,1884,2.0051,3,10,1.0663
Elizabeth,F,2549,1884,1.9757,4,12,1.0536
Minnie,F,2243,1884,1.7385,5,17,0.9213
George,F,40,1884,0.031,307,5,2.0541
John,F,40,1884,0.031,309,1,3.8725
Mary,M,36,1884,0.0315,293,2,3.8006
William,F,34,1884,0.0264,340,3,3.6683
James,F,33,1884,0.0256,343,4,2.3519
Mary,F,9128,1885,6.8603,1,1,3.8056
John,M,8756,1885,8.1225,1,2,3.6541
William,M,8044,1885,7.462,2,3,3.3535
James,M,5175,1885,4.8006,3,4,2.1594
George,M,4674,1885,4.3358,4,5,1.9526
Charles,M,4599,1885,4.2663,5,6,1.9194
Anna,F,3994,1885,3.0018,2,7,1.6666
Emma,F,2728,1885,2.0503,3,9,1.1384
Elizabeth,F,2582,1885,1.9406,4,10,1.0758
Margaret,F,2204,1885,1.6565,5,16,0.9196
John,F,45,1885,0.0338,297,2,3.6541
Mary,M,38,1885,0.0353,271,1,3.8056
William,F,33,1885,0.0248,353,3,3.3535
George,F,29,1885,0.0218,384,5,1.9526
James,F,26,1885,0.0195,408,4,2.1594
Mary,F,9889,1886,6.842,1,1,3.8858
John,M,9026,1886,8.1475,1,2,3.554
William,M,8252,1886,7.4488,2,3,3.2458
James,M,5355,1886,4.8338,3,4,2.1088
George,M,4671,1886,4.2164,4,5,1.8444
Charles,M,4533,1886,4.0918,5,6,1.7841
Anna,F,4283,1886,2.9633,2,7,1.6834
Emma,F,2764,1886,1.9124,3,9,1.0869
Elizabeth,F,2680,1886,1.8542,4,10,1.054
Minnie,F,2372,1886,1.6411,5,14,0.9322
John,F,48,1886,0.0332,300,2,3.554
George,F,38,1886,0.0263,349,5,1.8444
William,F,35,1886,0.0242,364,3,3.2458
Mary,M,32,1886,0.0289,305,1,3.8858
James,F,29,1886,0.0201,403,4,2.1088
Mary,F,9888,1887,6.7735,1,1,4.0159
John,M,8110,1887,7.9972,1,2,3.3008
William,M,7470,1887,7.3661,2,3,3.0373
James,M,4768,1887,4.7017,3,4,1.935
George,M,4284,1887,4.2244,4,5,1.7454
Anna,F,4227,1887,2.8956,2,6,1.7139
Charles,M,4031,1887,3.9749,5,7,1.6427
Elizabeth,F,2681,1887,1.8365,3,9,1.0894
